"table","section_id","item","instrument","instructions","section_prompt","item_text","item_text_translated","option_text","resp"
"namprb_siwiak_2024_bsr10","main","BSR_14","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Znajdujemy się w środku rozkwitu połączeń wysokiej częstotliwości, które dadzą nam dostęp do samej zupy kwantowej.","We are in the midst of a high-frequency blossoming of interconnectedness that will give us access to the quantum soup itself.",NA,4
"namprb_siwiak_2024_bsr10","main","BSR_14","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Znajdujemy się w środku rozkwitu połączeń wysokiej częstotliwości, które dadzą nam dostęp do samej zupy kwantowej.","We are in the midst of a high-frequency blossoming of interconnectedness that will give us access to the quantum soup itself.","not at all profound",1
"namprb_siwiak_2024_bsr10","main","BSR_14","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Znajdujemy się w środku rozkwitu połączeń wysokiej częstotliwości, które dadzą nam dostęp do samej zupy kwantowej.","We are in the midst of a high-frequency blossoming of interconnectedness that will give us access to the quantum soup itself.","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_14","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Znajdujemy się w środku rozkwitu połączeń wysokiej częstotliwości, które dadzą nam dostęp do samej zupy kwantowej.","We are in the midst of a high-frequency blossoming of interconnectedness that will give us access to the quantum soup itself.",NA,3
"namprb_siwiak_2024_bsr10","main","BSR_14","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Znajdujemy się w środku rozkwitu połączeń wysokiej częstotliwości, które dadzą nam dostęp do samej zupy kwantowej.","We are in the midst of a high-frequency blossoming of interconnectedness that will give us access to the quantum soup itself.",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_15","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Dzisiaj nauka mówi nam, że istotą natury jest radość.","Today, science tells us that the essence of nature is joy.","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_15","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Dzisiaj nauka mówi nam, że istotą natury jest radość.","Today, science tells us that the essence of nature is joy.",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_15","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Dzisiaj nauka mówi nam, że istotą natury jest radość.","Today, science tells us that the essence of nature is joy.","not at all profound",1
"namprb_siwiak_2024_bsr10","main","BSR_15","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Dzisiaj nauka mówi nam, że istotą natury jest radość.","Today, science tells us that the essence of nature is joy.",NA,4
"namprb_siwiak_2024_bsr10","main","BSR_15","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Dzisiaj nauka mówi nam, że istotą natury jest radość.","Today, science tells us that the essence of nature is joy.",NA,3
"namprb_siwiak_2024_bsr10","main","BSR_16","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"W trakcie samorealizacji, wejdziecie w nieskończoną empatię, która przekracza zrozumienie.","As you self-actualize, you will enter into infinite empathy that transcends understanding.",NA,3
"namprb_siwiak_2024_bsr10","main","BSR_16","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"W trakcie samorealizacji, wejdziecie w nieskończoną empatię, która przekracza zrozumienie.","As you self-actualize, you will enter into infinite empathy that transcends understanding.",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_16","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"W trakcie samorealizacji, wejdziecie w nieskończoną empatię, która przekracza zrozumienie.","As you self-actualize, you will enter into infinite empathy that transcends understanding.","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_16","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"W trakcie samorealizacji, wejdziecie w nieskończoną empatię, która przekracza zrozumienie.","As you self-actualize, you will enter into infinite empathy that transcends understanding.",NA,4
"namprb_siwiak_2024_bsr10","main","BSR_16","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"W trakcie samorealizacji, wejdziecie w nieskończoną empatię, która przekracza zrozumienie.","As you self-actualize, you will enter into infinite empathy that transcends understanding.","not at all profound",1
"namprb_siwiak_2024_bsr10","main","BSR_17","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Nieskończony wzywa nas poprzez superpozycję możliwości.","The infinite is calling to us via superpositions of possibilities.",NA,4
"namprb_siwiak_2024_bsr10","main","BSR_17","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Nieskończony wzywa nas poprzez superpozycję możliwości.","The infinite is calling to us via superpositions of possibilities.",NA,3
"namprb_siwiak_2024_bsr10","main","BSR_17","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Nieskończony wzywa nas poprzez superpozycję możliwości.","The infinite is calling to us via superpositions of possibilities.","not at all profound",1
"namprb_siwiak_2024_bsr10","main","BSR_17","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Nieskończony wzywa nas poprzez superpozycję możliwości.","The infinite is calling to us via superpositions of possibilities.","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_17","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Nieskończony wzywa nas poprzez superpozycję możliwości.","The infinite is calling to us via superpositions of possibilities.",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_18","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Jesteśmy wezwani do odkrywania całości jako interfejsu między spokojem i intuicją.","We are being called to explore the totality itself as an interface between serenity and intuition.","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_18","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Jesteśmy wezwani do odkrywania całości jako interfejsu między spokojem i intuicją.","We are being called to explore the totality itself as an interface between serenity and intuition.",NA,4
"namprb_siwiak_2024_bsr10","main","BSR_18","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Jesteśmy wezwani do odkrywania całości jako interfejsu między spokojem i intuicją.","We are being called to explore the totality itself as an interface between serenity and intuition.",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_18","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Jesteśmy wezwani do odkrywania całości jako interfejsu między spokojem i intuicją.","We are being called to explore the totality itself as an interface between serenity and intuition.","not at all profound",1
"namprb_siwiak_2024_bsr10","main","BSR_18","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Jesteśmy wezwani do odkrywania całości jako interfejsu między spokojem i intuicją.","We are being called to explore the totality itself as an interface between serenity and intuition.",NA,3
"namprb_siwiak_2024_bsr10","main","BSR_19","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Przez całą historię ludzie wchodzili w interakcje z krainą snów poprzez bio-elektryczność.","Throughout history, humans have been interacting with the dreamscape via bio-electricity","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_19","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Przez całą historię ludzie wchodzili w interakcje z krainą snów poprzez bio-elektryczność.","Throughout history, humans have been interacting with the dreamscape via bio-electricity",NA,3
"namprb_siwiak_2024_bsr10","main","BSR_19","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Przez całą historię ludzie wchodzili w interakcje z krainą snów poprzez bio-elektryczność.","Throughout history, humans have been interacting with the dreamscape via bio-electricity",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_19","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Przez całą historię ludzie wchodzili w interakcje z krainą snów poprzez bio-elektryczność.","Throughout history, humans have been interacting with the dreamscape via bio-electricity","not at all profound",1
"namprb_siwiak_2024_bsr10","main","BSR_19","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Przez całą historię ludzie wchodzili w interakcje z krainą snów poprzez bio-elektryczność.","Throughout history, humans have been interacting with the dreamscape via bio-electricity",NA,4
"namprb_siwiak_2024_bsr10","main","BSR_2","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Dobre zdrowie nadaje realność subtelnej kreatywności.","Good health imparts reality to subtle creativity.",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_2","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Dobre zdrowie nadaje realność subtelnej kreatywności.","Good health imparts reality to subtle creativity.","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_2","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Dobre zdrowie nadaje realność subtelnej kreatywności.","Good health imparts reality to subtle creativity.",NA,4
"namprb_siwiak_2024_bsr10","main","BSR_2","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Dobre zdrowie nadaje realność subtelnej kreatywności.","Good health imparts reality to subtle creativity.",NA,3
"namprb_siwiak_2024_bsr10","main","BSR_2","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Dobre zdrowie nadaje realność subtelnej kreatywności.","Good health imparts reality to subtle creativity.","not at all profound",1
"namprb_siwiak_2024_bsr10","main","BSR_20","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Przyszłość będzie astralnym odsłonięciem nieodłączności.","The future will be an astral unveiling of inseparability.",NA,4
"namprb_siwiak_2024_bsr10","main","BSR_20","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Przyszłość będzie astralnym odsłonięciem nieodłączności.","The future will be an astral unveiling of inseparability.",NA,3
"namprb_siwiak_2024_bsr10","main","BSR_20","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Przyszłość będzie astralnym odsłonięciem nieodłączności.","The future will be an astral unveiling of inseparability.",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_20","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Przyszłość będzie astralnym odsłonięciem nieodłączności.","The future will be an astral unveiling of inseparability.","not at all profound",1
"namprb_siwiak_2024_bsr10","main","BSR_20","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Przyszłość będzie astralnym odsłonięciem nieodłączności.","The future will be an astral unveiling of inseparability.","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_21","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Uwaga i intencja to mechaniki manifestacji.","Attention and intention are the mechanics of manifestation.","not at all profound",1
"namprb_siwiak_2024_bsr10","main","BSR_21","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Uwaga i intencja to mechaniki manifestacji.","Attention and intention are the mechanics of manifestation.","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_21","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Uwaga i intencja to mechaniki manifestacji.","Attention and intention are the mechanics of manifestation.",NA,4
"namprb_siwiak_2024_bsr10","main","BSR_21","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Uwaga i intencja to mechaniki manifestacji.","Attention and intention are the mechanics of manifestation.",NA,3
"namprb_siwiak_2024_bsr10","main","BSR_21","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Uwaga i intencja to mechaniki manifestacji.","Attention and intention are the mechanics of manifestation.",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_22","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Nasze umysły rozciągają się w przestrzeni i czasie jako fale w oceanie jednego umysłu.","Our minds extend across space and time as waves in the ocean of the one mind.",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_22","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Nasze umysły rozciągają się w przestrzeni i czasie jako fale w oceanie jednego umysłu.","Our minds extend across space and time as waves in the ocean of the one mind.","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_22","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Nasze umysły rozciągają się w przestrzeni i czasie jako fale w oceanie jednego umysłu.","Our minds extend across space and time as waves in the ocean of the one mind.",NA,4
"namprb_siwiak_2024_bsr10","main","BSR_22","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Nasze umysły rozciągają się w przestrzeni i czasie jako fale w oceanie jednego umysłu.","Our minds extend across space and time as waves in the ocean of the one mind.",NA,3
"namprb_siwiak_2024_bsr10","main","BSR_22","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Nasze umysły rozciągają się w przestrzeni i czasie jako fale w oceanie jednego umysłu.","Our minds extend across space and time as waves in the ocean of the one mind.","not at all profound",1
"namprb_siwiak_2024_bsr10","main","BSR_23","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Natura jest samoregulującym się ekosystemem świadomości.","Nature is a self-regulating ecosystem of awareness.",NA,3
"namprb_siwiak_2024_bsr10","main","BSR_23","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Natura jest samoregulującym się ekosystemem świadomości.","Nature is a self-regulating ecosystem of awareness.","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_23","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Natura jest samoregulującym się ekosystemem świadomości.","Nature is a self-regulating ecosystem of awareness.",NA,4
"namprb_siwiak_2024_bsr10","main","BSR_23","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Natura jest samoregulującym się ekosystemem świadomości.","Nature is a self-regulating ecosystem of awareness.",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_23","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Natura jest samoregulującym się ekosystemem świadomości.","Nature is a self-regulating ecosystem of awareness.","not at all profound",1
"namprb_siwiak_2024_bsr10","main","BSR_24","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Jesteśmy istotami nie-lokalnymi, które lokalizują się jako kropka, a następnie napełniają się, aby ponownie stać się nielokalne. Wszechświat jest odzwierciedlony w nas.","We are non-local beings that localize as a dot then inflate to become non-local again.",NA,4
"namprb_siwiak_2024_bsr10","main","BSR_24","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Jesteśmy istotami nie-lokalnymi, które lokalizują się jako kropka, a następnie napełniają się, aby ponownie stać się nielokalne. Wszechświat jest odzwierciedlony w nas.","We are non-local beings that localize as a dot then inflate to become non-local again.","not at all profound",1
"namprb_siwiak_2024_bsr10","main","BSR_24","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Jesteśmy istotami nie-lokalnymi, które lokalizują się jako kropka, a następnie napełniają się, aby ponownie stać się nielokalne. Wszechświat jest odzwierciedlony w nas.","We are non-local beings that localize as a dot then inflate to become non-local again.","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_24","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Jesteśmy istotami nie-lokalnymi, które lokalizują się jako kropka, a następnie napełniają się, aby ponownie stać się nielokalne. Wszechświat jest odzwierciedlony w nas.","We are non-local beings that localize as a dot then inflate to become non-local again.",NA,3
"namprb_siwiak_2024_bsr10","main","BSR_24","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Jesteśmy istotami nie-lokalnymi, które lokalizują się jako kropka, a następnie napełniają się, aby ponownie stać się nielokalne. Wszechświat jest odzwierciedlony w nas.","We are non-local beings that localize as a dot then inflate to become non-local again.",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_25","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Mechanika manifestacji: Intencja, oderwanie, skoncentrowane na umożliwieniu zestawienia możliwości do rozwijania się.","Mechanics of Manifestation: Intention, detachment, centered in being allowing juxtaposition of possibilities to unfold.","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_25","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Mechanika manifestacji: Intencja, oderwanie, skoncentrowane na umożliwieniu zestawienia możliwości do rozwijania się.","Mechanics of Manifestation: Intention, detachment, centered in being allowing juxtaposition of possibilities to unfold.",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_25","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Mechanika manifestacji: Intencja, oderwanie, skoncentrowane na umożliwieniu zestawienia możliwości do rozwijania się.","Mechanics of Manifestation: Intention, detachment, centered in being allowing juxtaposition of possibilities to unfold.","not at all profound",1
"namprb_siwiak_2024_bsr10","main","BSR_25","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Mechanika manifestacji: Intencja, oderwanie, skoncentrowane na umożliwieniu zestawienia możliwości do rozwijania się.","Mechanics of Manifestation: Intention, detachment, centered in being allowing juxtaposition of possibilities to unfold.",NA,4
"namprb_siwiak_2024_bsr10","main","BSR_25","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Mechanika manifestacji: Intencja, oderwanie, skoncentrowane na umożliwieniu zestawienia możliwości do rozwijania się.","Mechanics of Manifestation: Intention, detachment, centered in being allowing juxtaposition of possibilities to unfold.",NA,3
"namprb_siwiak_2024_bsr10","main","BSR_26","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Umysł i materia są subtelnymi i gęstymi wibracjami świadomości (ducha).","Mind and matter are subtle and dense vibrations of consciousness.",NA,3
"namprb_siwiak_2024_bsr10","main","BSR_26","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Umysł i materia są subtelnymi i gęstymi wibracjami świadomości (ducha).","Mind and matter are subtle and dense vibrations of consciousness.",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_26","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Umysł i materia są subtelnymi i gęstymi wibracjami świadomości (ducha).","Mind and matter are subtle and dense vibrations of consciousness.","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_26","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Umysł i materia są subtelnymi i gęstymi wibracjami świadomości (ducha).","Mind and matter are subtle and dense vibrations of consciousness.",NA,4
"namprb_siwiak_2024_bsr10","main","BSR_26","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Umysł i materia są subtelnymi i gęstymi wibracjami świadomości (ducha).","Mind and matter are subtle and dense vibrations of consciousness.","not at all profound",1
"namprb_siwiak_2024_bsr10","main","BSR_27","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Nie jesteśmy wyłaniającą się własnością mechanicznego wszechświata, ale sezonową aktywnością żywego kosmosu.","We are not an emergent property of a mechanical universe but the seasonal activity of a living cosmos.",NA,4
"namprb_siwiak_2024_bsr10","main","BSR_27","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Nie jesteśmy wyłaniającą się własnością mechanicznego wszechświata, ale sezonową aktywnością żywego kosmosu.","We are not an emergent property of a mechanical universe but the seasonal activity of a living cosmos.",NA,3
"namprb_siwiak_2024_bsr10","main","BSR_27","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Nie jesteśmy wyłaniającą się własnością mechanicznego wszechświata, ale sezonową aktywnością żywego kosmosu.","We are not an emergent property of a mechanical universe but the seasonal activity of a living cosmos.","not at all profound",1
"namprb_siwiak_2024_bsr10","main","BSR_27","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Nie jesteśmy wyłaniającą się własnością mechanicznego wszechświata, ale sezonową aktywnością żywego kosmosu.","We are not an emergent property of a mechanical universe but the seasonal activity of a living cosmos.","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_27","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Nie jesteśmy wyłaniającą się własnością mechanicznego wszechświata, ale sezonową aktywnością żywego kosmosu.","We are not an emergent property of a mechanical universe but the seasonal activity of a living cosmos.",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_28","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Każda cząstka materialna jest relacją fal prawdopodobieństwa w polu nieskończonych możliwości. Ty tym jesteś.","Every material particle is a relationship of probability waves in a field of infinite possibilities.","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_28","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Każda cząstka materialna jest relacją fal prawdopodobieństwa w polu nieskończonych możliwości. Ty tym jesteś.","Every material particle is a relationship of probability waves in a field of infinite possibilities.",NA,4
"namprb_siwiak_2024_bsr10","main","BSR_28","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Każda cząstka materialna jest relacją fal prawdopodobieństwa w polu nieskończonych możliwości. Ty tym jesteś.","Every material particle is a relationship of probability waves in a field of infinite possibilities.",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_28","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Każda cząstka materialna jest relacją fal prawdopodobieństwa w polu nieskończonych możliwości. Ty tym jesteś.","Every material particle is a relationship of probability waves in a field of infinite possibilities.","not at all profound",1
"namprb_siwiak_2024_bsr10","main","BSR_28","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Każda cząstka materialna jest relacją fal prawdopodobieństwa w polu nieskończonych możliwości. Ty tym jesteś.","Every material particle is a relationship of probability waves in a field of infinite possibilities.",NA,3
"namprb_siwiak_2024_bsr10","main","BSR_29","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Jako istoty światła jesteśmy lokalną i nie-lokalną, związaną z czasem i ponadczasową aktualnością i możliwością.","As beings of light we are local and non-local, time bound and timeless actuality and possibility.","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_29","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Jako istoty światła jesteśmy lokalną i nie-lokalną, związaną z czasem i ponadczasową aktualnością i możliwością.","As beings of light we are local and non-local, time bound and timeless actuality and possibility.",NA,3
