"table","tier","verdict","item_text","option_text","instructions","section_prompt","scripts","tag_class","lang_tag","language","action"
"ccapsvtskhpacr_mercedes_2023_beck","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","ADMIN","blank","","nonenglish","spa","Spanish","HOLD: BDI-II. The base field already publishes the full Spanish statements, but the official English BDI-II wording is Pearson-licensed, so the _translated column must be our own rendering of the Spanish, not the published English. Needs a decision before building. See #1799."
"chile_2023_social-welfare-survey_ee","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","blank","blank","","nonenglish","spa","Spanish","add language + generate _translated for the ADMIN fields"
"chile_2023_social-welfare-survey_f","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","missing","blank","","nonenglish","spa","Spanish","add language + generate _translated for the ADMIN fields"
"chile_2023_social-welfare-survey_g","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","blank","blank","","nonenglish","spa","Spanish","add language + generate _translated for the ADMIN fields"
"chile_2023_social-welfare-survey_h","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","blank","blank","","nonenglish","spa","Spanish","add language + generate _translated for the ADMIN fields"
"chile_2023_social-welfare-survey_oo","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","blank","blank","","nonenglish","spa","Spanish","add language + generate _translated for the ADMIN fields"
"fad_dataset1","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","ADMIN","blank","CJK","nonenglish","zho","Chinese","add language + generate _translated for the ADMIN fields"
"fad_dataset2","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","ADMIN","blank","CJK","nonenglish","zho","Chinese","add language + generate _translated for the ADMIN fields"
"gilbert_meta_64","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","ADMIN","blank","Arabic","nonenglish","ar","Arabic","add language + generate _translated for the ADMIN fields"
"heekerens2025_bfi_extraversion","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","","nonenglish","ger","German","add language + generate _translated for the ADMIN fields"
"heekerens2025_bfi_neuroticism","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","","nonenglish","ger","German","add language + generate _translated for the ADMIN fields"
"heekerens2025_bfi_openness","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","","nonenglish","ger","German","add language + generate _translated for the ADMIN fields"
"heekerens2025_dss","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","blank","NEEDS_REVIEW","","nonenglish","ger","German","add language + generate _translated for the ADMIN fields"
"heekerens2025_sdq","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","blank","blank","","nonenglish","ger","German","add language + generate _translated for the ADMIN fields"
"idas_machado2024","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","ADMIN","blank","","nonenglish","por","Portuguese","add language + generate _translated for the ADMIN fields"
"isi_insomnia_wang2025","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","NEEDS_REVIEW","blank","CJK","nonenglish","zho","Chinese","add language + generate _translated for the ADMIN fields"
"lshs-e_quidaja_2022","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","NEEDS_REVIEW","blank","","nonenglish","spa","Spanish","add language + generate _translated for the ADMIN fields"
"lys_2020_rape_1_rma","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","blank","blank","","mixed","eng, pol","Polish","add language + generate _translated for the ADMIN fields"
"lys_2020_rape_2_rma","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","blank","blank","","mixed","eng, pol","Polish","add language + generate _translated for the ADMIN fields"
"lys_2020_rape_2_rma_pre","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","blank","blank","","mixed","eng, pol","Polish","add language + generate _translated for the ADMIN fields"
"lys_2020_rape_3_asi","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","blank","blank","","mixed","eng, pol","Polish","add language + generate _translated for the ADMIN fields"
"lys_2020_rape_3_rma","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","blank","blank","","mixed","eng, pol","Polish","add language + generate _translated for the ADMIN fields"
"mexico_2023_quality_administration","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","ADMIN","blank","","nonenglish","spa","Spanish","add language + generate _translated for the ADMIN fields"
"mexico_2023_quality_corruptionperception","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","blank","ADMIN","","nonenglish","spa","Spanish","add language + generate _translated for the ADMIN fields"
"mexico_2023_quality_drainage","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","blank","ADMIN","","nonenglish","spa","Spanish","add language + generate _translated for the ADMIN fields"
"mexico_2023_quality_lightning","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","blank","ADMIN","","nonenglish","spa","Spanish","add language + generate _translated for the ADMIN fields"
"mexico_2023_quality_problems","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","ADMIN","blank","","nonenglish","spa","Spanish","add language + generate _translated for the ADMIN fields"
"mexico_2023_quality_water","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","blank","ADMIN","","nonenglish","spa","Spanish","add language + generate _translated for the ADMIN fields"
"namprb_siwiak_2024_aot","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","blank","blank","","nonenglish","pol","Polish","add language + generate _translated for the ADMIN fields"
"namprb_siwiak_2024_bsr10","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","blank","blank","","nonenglish","pol","Polish","add language + generate _translated for the ADMIN fields"
"namprb_siwiak_2024_gcbs","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","ADMIN","ADMIN","","nonenglish","pol","Polish","add language + generate _translated for the ADMIN fields"
"namprb_siwiak_2024_kon2066","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","ADMIN","blank","","nonenglish","pol","Polish","add language + generate _translated for the ADMIN fields"
"namprb_siwiak_2024_kop20","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","ADMIN","blank","","nonenglish","pol","Polish","add language + generate _translated for the ADMIN fields"
"pedroso_2021_ifsq_pressuring","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","blank","blank","","unknown","","Portuguese","add language + generate _translated for the ADMIN fields"
"rd_ppcvdos_padconacns_jinbo_2019_dos","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","ADMIN","ADMIN","CJK","nonenglish","zho","Chinese","add language + generate _translated for the ADMIN fields"
"rosenberg_fadplus_goto2021","A","HAS_ADMIN_TEXT","NEEDS_REVIEW","ADMIN","blank","blank","CJK;Kana","nonenglish","jpn","Japanese","add language + generate _translated for the ADMIN fields"
"shu_2025_translation_mcpis","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","blank","blank","CJK","mixed","eng, chi","Chinese","add language + generate _translated for the ADMIN fields"
"spanishmegastudy","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","blank","blank","","nonenglish","spa","Spanish","DEFERRED: 1,270 distinct item stems and 3,989 distinct option labels (~5,259 strings). Too large to translate inline; needs a bulk MT pass, then review. See #1799."
"sun_2025_morality_study2_colleagueclose","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","blank","blank","CJK","mixed","eng, chi","Chinese","add language + generate _translated for the ADMIN fields"
"sun_2025_morality_study2_colleagueknow","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","blank","blank","CJK","mixed","eng, chi","Chinese","add language + generate _translated for the ADMIN fields"
"sun_2025_morality_study2_colleaguelike","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","blank","blank","CJK","mixed","eng, chi","Chinese","add language + generate _translated for the ADMIN fields"
"sun_2025_morality_study2_informant-moral-character","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","blank","ADMIN","CJK","mixed","eng, chi","Chinese","add language + generate _translated for the ADMIN fields"
"sun_2025_morality_study2_meaning","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","blank","blank","CJK","mixed","eng, chi","Chinese","add language + generate _translated for the ADMIN fields"
"sun_2025_morality_study2_nemotion","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","blank","blank","CJK","mixed","eng, chi","Chinese","add language + generate _translated for the ADMIN fields"
"sun_2025_morality_study2_pemotion","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","blank","blank","CJK","mixed","eng, chi","Chinese","add language + generate _translated for the ADMIN fields"
"sun_2025_morality_study2_self-moral-character","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","blank","NEEDS_REVIEW","CJK","mixed","eng, chi","Chinese","add language + generate _translated for the ADMIN fields"
"sv-maia2_randelovic_2021_delta","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","ADMIN","blank","","nonenglish","srp","Serbian","add language + generate _translated for the ADMIN fields"
"sv-maia2_randelovic_2021_erq","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","NEEDS_REVIEW","blank","","mixed","eng,srp","Serbian","add language + generate _translated for the ADMIN fields"
"sv-maia2_randelovic_2021_hexaco100","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","NEEDS_REVIEW","blank","","mixed","eng,srp","Serbian","add language + generate _translated for the ADMIN fields"
"sv-maia2_randelovic_2021_hexaco60","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","NEEDS_REVIEW","blank","","nonenglish","srp","Serbian","add language + generate _translated for the ADMIN fields"
"sv-maia2_randelovic_2021_maas","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","NEEDS_REVIEW","blank","","mixed","eng,srp","Serbian","add language + generate _translated for the ADMIN fields"
"sv-maia2_randelovic_2021_maia","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","ADMIN","blank","","mixed","eng,srp","Serbian","add language + generate _translated for the ADMIN fields"
"sv-maia2_randelovic_2021_shs","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","NEEDS_REVIEW","blank","","mixed","eng,srp","Serbian","add language + generate _translated for the ADMIN fields"
"torok_2025_ai_acceptance","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","ADMIN","blank","","unknown","NA","Hungarian","add language + generate _translated for the ADMIN fields"
"torok_2025_data_disclosure","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","ADMIN","blank","","unknown","NA","Hungarian","add language + generate _translated for the ADMIN fields"
"torok_2025_data_security","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","ADMIN","blank","","unknown","NA","Hungarian","add language + generate _translated for the ADMIN fields"
"torok_2025_discourse_responsibility","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","ADMIN","blank","","unknown","NA","Hungarian","add language + generate _translated for the ADMIN fields"
"torok_2025_facebook_uses","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","blank","blank","","unknown","NA","Hungarian","add language + generate _translated for the ADMIN fields"
"torok_2025_internet_use_frequency","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","ADMIN","blank","","unknown","NA","Hungarian","add language + generate _translated for the ADMIN fields"
"torok_2025_legality_beliefs","A","HAS_ADMIN_TEXT","ADMIN","NEEDS_REVIEW","ADMIN","blank","","unknown","NA","Hungarian","add language + generate _translated for the ADMIN fields"
"torok_2025_manipulation_fear","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","ADMIN","blank","","unknown","NA","Hungarian","add language + generate _translated for the ADMIN fields"
"torok_2025_news_consumption","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","ADMIN","blank","","unknown","NA","Hungarian","add language + generate _translated for the ADMIN fields"
"torok_2025_news_source_frequency","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","ADMIN","blank","","unknown","NA","Hungarian","add language + generate _translated for the ADMIN fields"
"torok_2025_news_source_trust","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","ADMIN","blank","","unknown","NA","Hungarian","add language + generate _translated for the ADMIN fields"
"torok_2025_social_media_effects","A","HAS_ADMIN_TEXT","ADMIN","ADMIN","blank","blank","","unknown","NA","Hungarian","add language + generate _translated for the ADMIN fields"
"360emergencymed_azami_2024","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","","nonenglish","fas","","confirm administered language; label fallback or close as English"
"ALSECYPIAMH_WU_2022_SDQ","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","nonenglish","chi","","confirm administered language; label fallback or close as English"
"AOMT_BR_SF_EDPANAB_Geiger_2021_AOT","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","mixed","eng, bul","","confirm administered language; label fallback or close as English"
"AOMT_BR_SF_EDPANAB_Geiger_2021_BRS","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","mixed","eng, bul","","confirm administered language; label fallback or close as English"
"abdullah_2024_bsq_sev24","B","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","blank","","nonenglish","may","","confirm administered language; label fallback or close as English"
"abdullah_2024_bsq_sevgen","B","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","blank","","nonenglish","may","","confirm administered language; label fallback or close as English"
"abouhashish_2025_chatgpt_attitudes","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","NA","","confirm administered language; label fallback or close as English"
"abukhalaf_2025_disaster_prep","B","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","NEEDS_REVIEW","","unknown","","","confirm administered language; label fallback or close as English"
"agogue_2020_self_perceived_creativity","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","NA","","confirm administered language; label fallback or close as English"
"ahmed_2019_wellbeing","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","NA","","confirm administered language; label fallback or close as English"
"alasmari_2025_ai_trust_compare","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","","","confirm administered language; label fallback or close as English"
"alasmari_2025_ai_trust_confidence","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","","","confirm administered language; label fallback or close as English"
"albeitawi_2025_preceptor_needs","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","","","confirm administered language; label fallback or close as English"
"alexander_2017_dsi","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","","","confirm administered language; label fallback or close as English"
"algner2022_cse","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","NA","","confirm administered language; label fallback or close as English"
"algner2022_mimi16","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","NA","","confirm administered language; label fallback or close as English"
"ali_2021_gad7","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","","","confirm administered language; label fallback or close as English"
"ali_2021_iesr","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","","","confirm administered language; label fallback or close as English"
"ali_2021_isi","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","","","confirm administered language; label fallback or close as English"
"ali_2021_spfi","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","NEEDS_REVIEW","","unknown","","","confirm administered language; label fallback or close as English"
"alkouri_2025_coping","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","","","confirm administered language; label fallback or close as English"
"alkouri_2025_icu_stressors","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","","","confirm administered language; label fallback or close as English"
"allen_2025_delaydiscount","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","","","confirm administered language; label fallback or close as English"
"almuqbil_2022_epds","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","NA","","confirm administered language; label fallback or close as English"
"alsecypiamh_wu_2022_empathy","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","chi,eng","","confirm administered language; label fallback or close as English"
"alsecypiamh_wu_2022_nei","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","NEEDS_REVIEW","","mixed","chi,eng","","confirm administered language; label fallback or close as English"
"alsecypiamh_wu_2022_pei","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","NEEDS_REVIEW","","mixed","chi,eng","","confirm administered language; label fallback or close as English"
"alsecypiamh_wu_2022_pil","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","chi,eng","","confirm administered language; label fallback or close as English"
"alsecypiamh_wu_2022_swemwbs","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","mixed","chi,eng","","confirm administered language; label fallback or close as English"
"alsecypiamh_wu_2022_swls","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","chi,eng","","confirm administered language; label fallback or close as English"
"altahla_2024_swls","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","","","confirm administered language; label fallback or close as English"
"altahla_2024_whoqol","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","","","confirm administered language; label fallback or close as English"
"altman_2020_capq","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","NA","","confirm administered language; label fallback or close as English"
"alves_2017_hamd17","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","","","confirm administered language; label fallback or close as English"
"amarilla_2020_lawton_brody","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","NA","","confirm administered language; label fallback or close as English"
"amarilla_2020_sf12","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","NA","","confirm administered language; label fallback or close as English"
"amatus_cipora_2024_bfi_n","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","ger, fra","","confirm administered language; label fallback or close as English"
"amatus_cipora_2024_gad","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","ger, fra","","confirm administered language; label fallback or close as English"
"amatus_cipora_2024_pisa_me","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","ger, fra","","confirm administered language; label fallback or close as English"
"amatus_cipora_2024_sdq_l","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","ger, fra","","confirm administered language; label fallback or close as English"
"amatus_cipora_2024_sdq_m","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","ger, fra","","confirm administered language; label fallback or close as English"
"amatus_cipora_2024_stai","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","ger, fra","","confirm administered language; label fallback or close as English"
"amatus_cipora_2024_tai","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","ger, fra","","confirm administered language; label fallback or close as English"
"anh_2026_finbehavior","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","","","confirm administered language; label fallback or close as English"
"anjum_2022_gad7","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","NA","","confirm administered language; label fallback or close as English"
"arora2025_blueq_pedagogical","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","","","confirm administered language; label fallback or close as English"
"arora2025_blueq_synchronous","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","","","confirm administered language; label fallback or close as English"
"arzamoncunill_2023_epq_clinical","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","","","confirm administered language; label fallback or close as English"
"audretsch_2021_entrepreneurial_ecosystems","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","","","confirm administered language; label fallback or close as English"
"autonomysupport_mokken","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","nld","","confirm administered language; label fallback or close as English"
"avilesgonzalez2019_ces","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","NA","","confirm administered language; label fallback or close as English"
"baaziz_2023_sms2","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","NA","","confirm administered language; label fallback or close as English"
"bakker_2020_pss10","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","NA","","confirm administered language; label fallback or close as English"
"bakker_2020_rses","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","NA","","confirm administered language; label fallback or close as English"
"bang_2023_self_esteem","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","kor","","confirm administered language; label fallback or close as English"
"beck_2021_pss10","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","","","confirm administered language; label fallback or close as English"
"benitezsillero_2021_bullying","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","NA","","confirm administered language; label fallback or close as English"
"bitew_2020_osss3","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","amh","","confirm administered language; label fallback or close as English"
"bitew_2020_phq9","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","nonenglish","amh","","confirm administered language; label fallback or close as English"
"bitew_2020_self_efficacy","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","amh","","confirm administered language; label fallback or close as English"
"brederecke_2020_phq4","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","NA","","confirm administered language; label fallback or close as English"
"buczel_2022_inoculation_belief","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","NA","","confirm administered language; label fallback or close as English"
"bukurov_2022_sf36","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","","unknown","NA","","confirm administered language; label fallback or close as English"
"burgess_2025_soas","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","","","confirm administered language; label fallback or close as English"
"busch_2022_course_alleviate","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","","","confirm administered language; label fallback or close as English"
"busch_2023_stigma","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","","","confirm administered language; label fallback or close as English"
"butt_2022_actual_usage","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","","","confirm administered language; label fallback or close as English"
"butt_2022_cognitive_absorption","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","","","confirm administered language; label fallback or close as English"
"butt_2022_institutional_factors","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","","","confirm administered language; label fallback or close as English"
"butt_2022_task_tech_fit","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","","","confirm administered language; label fallback or close as English"
