"table","section_id","item","instrument","language","instructions","section_prompt","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.2","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Es fällt mir leicht, mich zu entspannen.","It's easy for me to relax.",NA,"strongly agree",NA,6
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.3","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Wenn bei mir etwas schief laufen kann, dann tut es das auch.","If something can go wrong for me, it will.",NA,"strongly agree",NA,1
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.3","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Wenn bei mir etwas schief laufen kann, dann tut es das auch.","If something can go wrong for me, it will.",NA,NA,NA,2
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.3","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Wenn bei mir etwas schief laufen kann, dann tut es das auch.","If something can go wrong for me, it will.",NA,NA,NA,3
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.3","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Wenn bei mir etwas schief laufen kann, dann tut es das auch.","If something can go wrong for me, it will.",NA,NA,NA,4
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.3","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Wenn bei mir etwas schief laufen kann, dann tut es das auch.","If something can go wrong for me, it will.",NA,NA,NA,5
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.3","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Wenn bei mir etwas schief laufen kann, dann tut es das auch.","If something can go wrong for me, it will.",NA,"strongly disagree",NA,6
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.4","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Meine Zukunft sehe ich immer optimistisch.","I'm always optimistic about my future.",NA,"strongly disagree",NA,1
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.4","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Meine Zukunft sehe ich immer optimistisch.","I'm always optimistic about my future.",NA,NA,NA,2
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.4","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Meine Zukunft sehe ich immer optimistisch.","I'm always optimistic about my future.",NA,NA,NA,3
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.4","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Meine Zukunft sehe ich immer optimistisch.","I'm always optimistic about my future.",NA,NA,NA,4
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.4","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Meine Zukunft sehe ich immer optimistisch.","I'm always optimistic about my future.",NA,NA,NA,5
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.4","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Meine Zukunft sehe ich immer optimistisch.","I'm always optimistic about my future.",NA,"strongly agree",NA,6
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.5","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"In meinem Freundeskreis fühle ich mich wohl.","I enjoy my friends a lot.",NA,"strongly disagree",NA,1
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.5","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"In meinem Freundeskreis fühle ich mich wohl.","I enjoy my friends a lot.",NA,NA,NA,2
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.5","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"In meinem Freundeskreis fühle ich mich wohl.","I enjoy my friends a lot.",NA,NA,NA,3
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.5","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"In meinem Freundeskreis fühle ich mich wohl.","I enjoy my friends a lot.",NA,NA,NA,4
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.5","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"In meinem Freundeskreis fühle ich mich wohl.","I enjoy my friends a lot.",NA,NA,NA,5
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.5","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"In meinem Freundeskreis fühle ich mich wohl.","I enjoy my friends a lot.",NA,"strongly agree",NA,6
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.6","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Es ist wichtig für mich, ständig beschäftigt zu sein.","It's important for me to keep busy.",NA,"strongly disagree",NA,1
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.6","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Es ist wichtig für mich, ständig beschäftigt zu sein.","It's important for me to keep busy.",NA,NA,NA,2
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.6","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Es ist wichtig für mich, ständig beschäftigt zu sein.","It's important for me to keep busy.",NA,NA,NA,3
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.6","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Es ist wichtig für mich, ständig beschäftigt zu sein.","It's important for me to keep busy.",NA,NA,NA,4
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.6","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Es ist wichtig für mich, ständig beschäftigt zu sein.","It's important for me to keep busy.",NA,NA,NA,5
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.6","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Es ist wichtig für mich, ständig beschäftigt zu sein.","It's important for me to keep busy.",NA,"strongly agree",NA,6
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.7","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Fast nie entwickeln sich die Dinge nach meinen Vorstellungen.","I hardly ever expect things to go my way.",NA,"strongly agree",NA,1
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.7","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Fast nie entwickeln sich die Dinge nach meinen Vorstellungen.","I hardly ever expect things to go my way.",NA,NA,NA,2
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.7","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Fast nie entwickeln sich die Dinge nach meinen Vorstellungen.","I hardly ever expect things to go my way.",NA,NA,NA,3
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.7","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Fast nie entwickeln sich die Dinge nach meinen Vorstellungen.","I hardly ever expect things to go my way.",NA,NA,NA,4
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.7","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Fast nie entwickeln sich die Dinge nach meinen Vorstellungen.","I hardly ever expect things to go my way.",NA,NA,NA,5
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.7","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Fast nie entwickeln sich die Dinge nach meinen Vorstellungen.","I hardly ever expect things to go my way.",NA,"strongly disagree",NA,6
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.8","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Ich bin nicht allzu leicht aus der Fassung zu bringen.","I don't get upset too easily.",NA,"strongly disagree",NA,1
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.8","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Ich bin nicht allzu leicht aus der Fassung zu bringen.","I don't get upset too easily.",NA,NA,NA,2
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.8","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Ich bin nicht allzu leicht aus der Fassung zu bringen.","I don't get upset too easily.",NA,NA,NA,3
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.8","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Ich bin nicht allzu leicht aus der Fassung zu bringen.","I don't get upset too easily.",NA,NA,NA,4
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.8","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Ich bin nicht allzu leicht aus der Fassung zu bringen.","I don't get upset too easily.",NA,NA,NA,5
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.8","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Ich bin nicht allzu leicht aus der Fassung zu bringen.","I don't get upset too easily.",NA,"strongly agree",NA,6
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.9","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Ich zähle selten darauf, dass mir etwas Gutes widerfährt.","I rarely count on good things happening to me.",NA,"strongly agree",NA,1
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.9","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Ich zähle selten darauf, dass mir etwas Gutes widerfährt.","I rarely count on good things happening to me.",NA,NA,NA,2
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.9","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Ich zähle selten darauf, dass mir etwas Gutes widerfährt.","I rarely count on good things happening to me.",NA,NA,NA,3
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.9","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Ich zähle selten darauf, dass mir etwas Gutes widerfährt.","I rarely count on good things happening to me.",NA,NA,NA,4
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.9","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Ich zähle selten darauf, dass mir etwas Gutes widerfährt.","I rarely count on good things happening to me.",NA,NA,NA,5
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.9","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Ich zähle selten darauf, dass mir etwas Gutes widerfährt.","I rarely count on good things happening to me.",NA,"strongly disagree",NA,6
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.10","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Alles in allem erwarte ich, dass mir mehr gute als schlechte Dinge widerfahren.","Overall, I expect more good things to happen to me than bad.",NA,"strongly disagree",NA,1
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.10","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Alles in allem erwarte ich, dass mir mehr gute als schlechte Dinge widerfahren.","Overall, I expect more good things to happen to me than bad.",NA,NA,NA,2
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.10","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Alles in allem erwarte ich, dass mir mehr gute als schlechte Dinge widerfahren.","Overall, I expect more good things to happen to me than bad.",NA,NA,NA,3
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.10","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Alles in allem erwarte ich, dass mir mehr gute als schlechte Dinge widerfahren.","Overall, I expect more good things to happen to me than bad.",NA,NA,NA,4
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.10","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Alles in allem erwarte ich, dass mir mehr gute als schlechte Dinge widerfahren.","Overall, I expect more good things to happen to me than bad.",NA,NA,NA,5
"lorenz_2016_optimism2","lorenz_2016_optimism2_1","optimism2.10","Life-Orientation-Test - Revised (LOT-R), deutsche Version / Life Orientation Test-Revised, German version, 10 items","German",NA,NA,"Alles in allem erwarte ich, dass mir mehr gute als schlechte Dinge widerfahren.","Overall, I expect more good things to happen to me than bad.",NA,"strongly agree",NA,6
