"table","section_id","item","instrument","language","instructions","section_prompt","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"lorenz_2016_hope","lorenz_2016_hope_1","hope2","State Hope Scale (SHS), 6 items","German",NA,NA,"At the present time, I am energetically pursuing my goals.",NA,NA,NA,NA,5
"lorenz_2016_hope","lorenz_2016_hope_1","hope2","State Hope Scale (SHS), 6 items","German",NA,NA,"At the present time, I am energetically pursuing my goals.",NA,NA,"strongly agree",NA,6
"lorenz_2016_hope","lorenz_2016_hope_1","hope3","State Hope Scale (SHS), 6 items","German",NA,NA,"There are lots of ways around any problem that I am facing now.",NA,NA,"strongly disagree",NA,1
"lorenz_2016_hope","lorenz_2016_hope_1","hope3","State Hope Scale (SHS), 6 items","German",NA,NA,"There are lots of ways around any problem that I am facing now.",NA,NA,NA,NA,2
"lorenz_2016_hope","lorenz_2016_hope_1","hope3","State Hope Scale (SHS), 6 items","German",NA,NA,"There are lots of ways around any problem that I am facing now.",NA,NA,NA,NA,3
"lorenz_2016_hope","lorenz_2016_hope_1","hope3","State Hope Scale (SHS), 6 items","German",NA,NA,"There are lots of ways around any problem that I am facing now.",NA,NA,NA,NA,4
"lorenz_2016_hope","lorenz_2016_hope_1","hope3","State Hope Scale (SHS), 6 items","German",NA,NA,"There are lots of ways around any problem that I am facing now.",NA,NA,NA,NA,5
"lorenz_2016_hope","lorenz_2016_hope_1","hope3","State Hope Scale (SHS), 6 items","German",NA,NA,"There are lots of ways around any problem that I am facing now.",NA,NA,"strongly agree",NA,6
"lorenz_2016_hope","lorenz_2016_hope_1","hope4","State Hope Scale (SHS), 6 items","German",NA,NA,"Im Moment betrachte ich mich als recht erfolgreich.","Right now, I see myself as being pretty successful.",NA,"strongly disagree",NA,1
"lorenz_2016_hope","lorenz_2016_hope_1","hope4","State Hope Scale (SHS), 6 items","German",NA,NA,"Im Moment betrachte ich mich als recht erfolgreich.","Right now, I see myself as being pretty successful.",NA,NA,NA,2
"lorenz_2016_hope","lorenz_2016_hope_1","hope4","State Hope Scale (SHS), 6 items","German",NA,NA,"Im Moment betrachte ich mich als recht erfolgreich.","Right now, I see myself as being pretty successful.",NA,NA,NA,3
"lorenz_2016_hope","lorenz_2016_hope_1","hope4","State Hope Scale (SHS), 6 items","German",NA,NA,"Im Moment betrachte ich mich als recht erfolgreich.","Right now, I see myself as being pretty successful.",NA,NA,NA,4
"lorenz_2016_hope","lorenz_2016_hope_1","hope4","State Hope Scale (SHS), 6 items","German",NA,NA,"Im Moment betrachte ich mich als recht erfolgreich.","Right now, I see myself as being pretty successful.",NA,NA,NA,5
"lorenz_2016_hope","lorenz_2016_hope_1","hope4","State Hope Scale (SHS), 6 items","German",NA,NA,"Im Moment betrachte ich mich als recht erfolgreich.","Right now, I see myself as being pretty successful.",NA,"strongly agree",NA,6
"lorenz_2016_hope","lorenz_2016_hope_1","hope5","State Hope Scale (SHS), 6 items","German",NA,NA,"Mir fallen viele Strategien ein, um meine derzeitigen Ziele zu erreichen.","I can think of many ways to reach my current goals.",NA,"strongly disagree",NA,1
"lorenz_2016_hope","lorenz_2016_hope_1","hope5","State Hope Scale (SHS), 6 items","German",NA,NA,"Mir fallen viele Strategien ein, um meine derzeitigen Ziele zu erreichen.","I can think of many ways to reach my current goals.",NA,NA,NA,2
"lorenz_2016_hope","lorenz_2016_hope_1","hope5","State Hope Scale (SHS), 6 items","German",NA,NA,"Mir fallen viele Strategien ein, um meine derzeitigen Ziele zu erreichen.","I can think of many ways to reach my current goals.",NA,NA,NA,3
"lorenz_2016_hope","lorenz_2016_hope_1","hope5","State Hope Scale (SHS), 6 items","German",NA,NA,"Mir fallen viele Strategien ein, um meine derzeitigen Ziele zu erreichen.","I can think of many ways to reach my current goals.",NA,NA,NA,4
"lorenz_2016_hope","lorenz_2016_hope_1","hope5","State Hope Scale (SHS), 6 items","German",NA,NA,"Mir fallen viele Strategien ein, um meine derzeitigen Ziele zu erreichen.","I can think of many ways to reach my current goals.",NA,NA,NA,5
"lorenz_2016_hope","lorenz_2016_hope_1","hope5","State Hope Scale (SHS), 6 items","German",NA,NA,"Mir fallen viele Strategien ein, um meine derzeitigen Ziele zu erreichen.","I can think of many ways to reach my current goals.",NA,"strongly agree",NA,6
"lorenz_2016_hope","lorenz_2016_hope_1","hope6","State Hope Scale (SHS), 6 items","German",NA,NA,"At this time, I am meeting the goals that I have set for myself.",NA,NA,"strongly disagree",NA,1
"lorenz_2016_hope","lorenz_2016_hope_1","hope6","State Hope Scale (SHS), 6 items","German",NA,NA,"At this time, I am meeting the goals that I have set for myself.",NA,NA,NA,NA,2
"lorenz_2016_hope","lorenz_2016_hope_1","hope6","State Hope Scale (SHS), 6 items","German",NA,NA,"At this time, I am meeting the goals that I have set for myself.",NA,NA,NA,NA,3
"lorenz_2016_hope","lorenz_2016_hope_1","hope6","State Hope Scale (SHS), 6 items","German",NA,NA,"At this time, I am meeting the goals that I have set for myself.",NA,NA,NA,NA,4
"lorenz_2016_hope","lorenz_2016_hope_1","hope6","State Hope Scale (SHS), 6 items","German",NA,NA,"At this time, I am meeting the goals that I have set for myself.",NA,NA,NA,NA,5
"lorenz_2016_hope","lorenz_2016_hope_1","hope6","State Hope Scale (SHS), 6 items","German",NA,NA,"At this time, I am meeting the goals that I have set for myself.",NA,NA,"strongly agree",NA,6
