"table","section_id","item","instrument","language","instructions","section_prompt","item_text","item_text_translated","correct_response","option_text","resp"
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas5","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Je me demande pourquoi est-ce que je n’arrive pas à mieux gérer le changement climatique.","I think, “why can’t I handle climate change better?”",NA,NA,0
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas5","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Je me demande pourquoi est-ce que je n’arrive pas à mieux gérer le changement climatique.","I think, “why can’t I handle climate change better?”",NA,NA,1
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas5","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Je me demande pourquoi est-ce que je n’arrive pas à mieux gérer le changement climatique.","I think, “why can’t I handle climate change better?”",NA,NA,2
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas5","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Je me demande pourquoi est-ce que je n’arrive pas à mieux gérer le changement climatique.","I think, “why can’t I handle climate change better?”",NA,NA,3
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas5","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Je me demande pourquoi est-ce que je n’arrive pas à mieux gérer le changement climatique.","I think, “why can’t I handle climate change better?”",NA,NA,4
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas6","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Je me mets à l'écart et pense aux raisons pour lesquelles je me sens ainsi face au changement climatique.","I go away by myself and think about why I feel this way about climate change",NA,NA,0
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas6","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Je me mets à l'écart et pense aux raisons pour lesquelles je me sens ainsi face au changement climatique.","I go away by myself and think about why I feel this way about climate change",NA,NA,1
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas6","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Je me mets à l'écart et pense aux raisons pour lesquelles je me sens ainsi face au changement climatique.","I go away by myself and think about why I feel this way about climate change",NA,NA,2
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas6","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Je me mets à l'écart et pense aux raisons pour lesquelles je me sens ainsi face au changement climatique.","I go away by myself and think about why I feel this way about climate change",NA,NA,3
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas6","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Je me mets à l'écart et pense aux raisons pour lesquelles je me sens ainsi face au changement climatique.","I go away by myself and think about why I feel this way about climate change",NA,NA,4
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas7","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"J'écris mes réflexions sur le changement climatique et je les analyse.","I write down my thoughts about climate change and analyze them",NA,NA,0
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas7","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"J'écris mes réflexions sur le changement climatique et je les analyse.","I write down my thoughts about climate change and analyze them",NA,NA,1
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas7","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"J'écris mes réflexions sur le changement climatique et je les analyse.","I write down my thoughts about climate change and analyze them",NA,NA,2
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas7","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"J'écris mes réflexions sur le changement climatique et je les analyse.","I write down my thoughts about climate change and analyze them",NA,NA,3
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas7","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"J'écris mes réflexions sur le changement climatique et je les analyse.","I write down my thoughts about climate change and analyze them",NA,NA,4
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas8","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Je me demande pourquoi je réagis ainsi au changement climatique.","I think, “why do I react to climate change this way?”",NA,NA,0
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas8","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Je me demande pourquoi je réagis ainsi au changement climatique.","I think, “why do I react to climate change this way?”",NA,NA,1
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas8","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Je me demande pourquoi je réagis ainsi au changement climatique.","I think, “why do I react to climate change this way?”",NA,NA,2
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas8","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Je me demande pourquoi je réagis ainsi au changement climatique.","I think, “why do I react to climate change this way?”",NA,NA,3
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas8","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Je me demande pourquoi je réagis ainsi au changement climatique.","I think, “why do I react to climate change this way?”",NA,NA,4
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas9","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Mes préoccupations au sujet du changement climatique m'empêchent de m'amuser avec ma famille ou mes amis.","My concerns about climate change make it hard for me to have fun with my family or friends.",NA,NA,0
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas9","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Mes préoccupations au sujet du changement climatique m'empêchent de m'amuser avec ma famille ou mes amis.","My concerns about climate change make it hard for me to have fun with my family or friends.",NA,NA,1
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas9","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Mes préoccupations au sujet du changement climatique m'empêchent de m'amuser avec ma famille ou mes amis.","My concerns about climate change make it hard for me to have fun with my family or friends.",NA,NA,2
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas9","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Mes préoccupations au sujet du changement climatique m'empêchent de m'amuser avec ma famille ou mes amis.","My concerns about climate change make it hard for me to have fun with my family or friends.",NA,NA,3
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas9","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Mes préoccupations au sujet du changement climatique m'empêchent de m'amuser avec ma famille ou mes amis.","My concerns about climate change make it hard for me to have fun with my family or friends.",NA,NA,4
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas10","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"J’ai du mal à trouver un équilibre entre mes préoccupations pour le « durable » et les besoins de ma famille.","I have problems balancing my concerns about sustainability with the needs of my family.",NA,NA,0
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas10","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"J’ai du mal à trouver un équilibre entre mes préoccupations pour le « durable » et les besoins de ma famille.","I have problems balancing my concerns about sustainability with the needs of my family.",NA,NA,1
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas10","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"J’ai du mal à trouver un équilibre entre mes préoccupations pour le « durable » et les besoins de ma famille.","I have problems balancing my concerns about sustainability with the needs of my family.",NA,NA,2
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas10","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"J’ai du mal à trouver un équilibre entre mes préoccupations pour le « durable » et les besoins de ma famille.","I have problems balancing my concerns about sustainability with the needs of my family.",NA,NA,3
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas10","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"J’ai du mal à trouver un équilibre entre mes préoccupations pour le « durable » et les besoins de ma famille.","I have problems balancing my concerns about sustainability with the needs of my family.",NA,NA,4
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas11","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Mes préoccupations à propos du changement climatique interfèrent avec ma capacité à faire mon travail ou mes tâches scolaires.","My concerns about climate change interfere with my ability to get work or school assignments done.",NA,NA,0
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas11","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Mes préoccupations à propos du changement climatique interfèrent avec ma capacité à faire mon travail ou mes tâches scolaires.","My concerns about climate change interfere with my ability to get work or school assignments done.",NA,NA,1
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas11","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Mes préoccupations à propos du changement climatique interfèrent avec ma capacité à faire mon travail ou mes tâches scolaires.","My concerns about climate change interfere with my ability to get work or school assignments done.",NA,NA,2
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas11","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Mes préoccupations à propos du changement climatique interfèrent avec ma capacité à faire mon travail ou mes tâches scolaires.","My concerns about climate change interfere with my ability to get work or school assignments done.",NA,NA,3
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas11","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Mes préoccupations à propos du changement climatique interfèrent avec ma capacité à faire mon travail ou mes tâches scolaires.","My concerns about climate change interfere with my ability to get work or school assignments done.",NA,NA,4
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas12","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Mes préoccupations concernant le changement climatique impactent négativement ma capacité à exploiter pleinement mon potentiel.","My concerns about climate change undermine my ability to work to my potential.",NA,NA,0
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas12","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Mes préoccupations concernant le changement climatique impactent négativement ma capacité à exploiter pleinement mon potentiel.","My concerns about climate change undermine my ability to work to my potential.",NA,NA,1
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas12","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Mes préoccupations concernant le changement climatique impactent négativement ma capacité à exploiter pleinement mon potentiel.","My concerns about climate change undermine my ability to work to my potential.",NA,NA,2
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas12","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Mes préoccupations concernant le changement climatique impactent négativement ma capacité à exploiter pleinement mon potentiel.","My concerns about climate change undermine my ability to work to my potential.",NA,NA,3
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas12","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Mes préoccupations concernant le changement climatique impactent négativement ma capacité à exploiter pleinement mon potentiel.","My concerns about climate change undermine my ability to work to my potential.",NA,NA,4
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas13","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Mes amis disent que je pense trop au changement climatique.","My friends say I think about climate change too much.",NA,NA,0
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas13","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Mes amis disent que je pense trop au changement climatique.","My friends say I think about climate change too much.",NA,NA,1
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas13","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Mes amis disent que je pense trop au changement climatique.","My friends say I think about climate change too much.",NA,NA,2
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas13","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Mes amis disent que je pense trop au changement climatique.","My friends say I think about climate change too much.",NA,NA,3
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas13","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Mes amis disent que je pense trop au changement climatique.","My friends say I think about climate change too much.",NA,NA,4
