"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas3","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"These gut symptoms are awful and they overwhelm me.",NA,"Strongly Disagree",1
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas3","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"These gut symptoms are awful and they overwhelm me.",NA,"Somewhat Disagree",2
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas3","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"These gut symptoms are awful and they overwhelm me.",NA,"Neither Agree nor Disagree",3
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas3","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"These gut symptoms are awful and they overwhelm me.",NA,"Somewhat Agree",4
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas3","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"These gut symptoms are awful and they overwhelm me.",NA,"Strongly Agree",5
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas4","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"As soon as I awake, I worry that I will have discomfort in my gut during the day.",NA,"Strongly Disagree",1
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas4","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"As soon as I awake, I worry that I will have discomfort in my gut during the day.",NA,"Somewhat Disagree",2
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas4","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"As soon as I awake, I worry that I will have discomfort in my gut during the day.",NA,"Neither Agree nor Disagree",3
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas4","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"As soon as I awake, I worry that I will have discomfort in my gut during the day.",NA,"Somewhat Agree",4
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas4","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"As soon as I awake, I worry that I will have discomfort in my gut during the day.",NA,"Strongly Agree",5
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas5","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"I often worry about problems in my gut.",NA,"Strongly Disagree",1
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas5","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"I often worry about problems in my gut.",NA,"Somewhat Disagree",2
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas5","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"I often worry about problems in my gut.",NA,"Neither Agree nor Disagree",3
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas5","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"I often worry about problems in my gut.",NA,"Somewhat Agree",4
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas5","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"I often worry about problems in my gut.",NA,"Strongly Agree",5
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas6","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"These gut symptoms are terrible and I think things are never going to get any better.",NA,"Strongly Disagree",1
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas6","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"These gut symptoms are terrible and I think things are never going to get any better.",NA,"Somewhat Disagree",2
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas6","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"These gut symptoms are terrible and I think things are never going to get any better.",NA,"Neither Agree nor Disagree",3
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas6","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"These gut symptoms are terrible and I think things are never going to get any better.",NA,"Somewhat Agree",4
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas6","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"These gut symptoms are terrible and I think things are never going to get any better.",NA,"Strongly Agree",5
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas7","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"There is nothing I can do to reduce the intensity of my gut symptoms.",NA,"Strongly Disagree",1
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas7","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"There is nothing I can do to reduce the intensity of my gut symptoms.",NA,"Somewhat Disagree",2
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas7","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"There is nothing I can do to reduce the intensity of my gut symptoms.",NA,"Neither Agree nor Disagree",3
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas7","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"There is nothing I can do to reduce the intensity of my gut symptoms.",NA,"Somewhat Agree",4
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas7","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"There is nothing I can do to reduce the intensity of my gut symptoms.",NA,"Strongly Agree",5
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas8","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"When I feel discomfort in my gut, it frightens me.",NA,"Strongly Disagree",1
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas8","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"When I feel discomfort in my gut, it frightens me.",NA,"Somewhat Disagree",2
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas8","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"When I feel discomfort in my gut, it frightens me.",NA,"Neither Agree nor Disagree",3
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas8","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"When I feel discomfort in my gut, it frightens me.",NA,"Somewhat Agree",4
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas8","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"When I feel discomfort in my gut, it frightens me.",NA,"Strongly Agree",5
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas9","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"I anxiously want the gut symptoms to go away.",NA,"Strongly Disagree",1
