source,title,url,doi,license,flag,reasons,n_responses,n_participants,n_items,density,data_file,n_other_files,refined_flag,refined_reason
zenodo,Questionnaire for assessing diseases against pathogen-related criteria,https://zenodo.org/records/7588990,10.5281/zenodo.7588990,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['General instructions', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8', 'Unnamed: 9', 'Unnamed: 10', 'Unnamed: 11', 'Unnamed: 12', 'Unnamed: 13', 'Unnamed: 14', 'Unnamed: 15', 'Unnamed: 16'",,,,,Final questionnaire.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,CITIZENSHIP BEHAVIOR QUESTIONNAIRE (CBQ),https://zenodo.org/records/10105133,10.5281/zenodo.10105133,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values*, multi_scale*",13600.0,340.0,40.0,1.0,Citizenship Behavior Questionnaire (Raw Data) (1).xlsx,1.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Data ERI questionnaire,https://zenodo.org/records/11149861,10.5281/zenodo.11149861,cc-by,human_assistance,"QC failed on: resp_scale_mixed | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",6351.0,219.0,29.0,1.0,Data_ERI.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,"Survey Questionnaire, Spanish Wineries and NoLo Wine Production",https://zenodo.org/records/19269968,10.5281/zenodo.19269968,cc-by,human_assistance,"QC failed on: resp_scale_mixed | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",2574.0,286.0,9.0,1.0,data.csv,1.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Questionnaire Draft and Respons for Study of Online Learning for Accounting Subjects in Vocational School During the Pandemic Period,https://zenodo.org/records/4498280,10.5281/zenodo.4498280,cc-by,human_assistance,"QC failed on: resp_scale_mixed | QC warnings to review: resp_ordinal*, resp_direction*",2184.0,312.0,7.0,1.0,Questionnaire Respons Data Summarize.xlsx,1.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Dataset used for validation of the Danish 20-item Spiritual Needs Questionnaire.,https://zenodo.org/records/5524334,10.5281/zenodo.5524334,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values*, multi_scale*",4125.0,165.0,25.0,1.0,Dataset_sampleA_anonymized_SpNQ+WHO5.xls,2.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
datacite,The effect of stress and egocentricity on depression and aggression: mediated by the emotion regulation difficulties ,https://data.mendeley.com/datasets/gtz9bfpvvm,10.17632/gtz9bfpvvm,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*",62999.0,700.0,90.0,1.0,DATA3.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
mendeley,Dataset for sexual and reproductive health literacy and service utilization among young people in southwest Nigeria,https://data.mendeley.com/datasets/783m2r6y6m,10.17632/783m2r6y6m,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",77814.0,1096.0,71.0,1.0,SRH Literacy Dataset Publish.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
mendeley,Wording Effects on two Independent Traits: MTMM Study of Relations among Self-Esteem and Locus of Control,https://data.mendeley.com/datasets/hhxynrzzt4,10.17632/hhxynrzzt4,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used the row position as the person id (one row = one respondent) and kept every source column available as an item or covariate — verify the file really is one row per person. | Wide source file contains response-level column(s) ['date'] — cannot safely melt. ",,,,,TAHRA DATA 19-11-2019.sav,1.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
figshare,Math Anxiety and Everyday Resilience in High-Stakes Contexts,https://figshare.com/articles/dataset/Data_set/30384058,10.6084/m9.figshare.30384058.v3,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, multi_scale*",8417.0,443.0,19.0,1.0,Data.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Questionnaire about the continuance intention to use AI in the e-commerce shopping experience,https://zenodo.org/records/17643905,10.5281/zenodo.17643905,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Variable', 'Nomenclatura', 'Item', 'Fuente']",,,,,Questionnaire about the continuance intention to use AI in the e-commerce shopping experience.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,"Questionnaire on Determinants of Entrepreneurial Intention: The Role of Personal Attitudes, Subjective Norms, Perceived Control, Creativity, Recognition of Opportunities, and Access to Financing.",https://zenodo.org/records/17625558,10.5281/zenodo.17625558,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Variable', 'Nomenclatura', 'Item', 'Fuente']",,,,,"Questionnaire on Determinants of Entrepreneurial Intention, The Role of Personal Attitudes, Subjective Norms, Perceived Control, Creativity, Recognition of Opportunities, and Access to Financing..xlsx",0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Questionnaire about perceived green leadership and its influence on sustainable career intentions among Peruvian university students,https://zenodo.org/records/17615272,10.5281/zenodo.17615272,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Variable', 'Nomenclatura', 'Item', 'Fuente']",,,,,Questionnaire on perceived green leadership and its influence on sustainable career intentions among Peruvian university students.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Enterprise Survey Data on Artificial Intelligence Adoption and Implementation Conditions in Slovakia,https://zenodo.org/records/20760725,10.5281/zenodo.20760725,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used the row position as the person id (one row = one respondent) and kept every source column available as an item or covariate — verify the file really is one row per person. | Could not confidently identify item columns. | Columns present: ['id;AIMATURITYcul",,,,,CAWI_ENG_SPSS_CARELESSRESP_AI-IMPACT.csv,9.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,認知症家族介護者の介護対応力評価尺度(Caregiving Competence Scale for Dementia:CCSD)ー日本語版質問紙・マニュアル・得点表ー,https://zenodo.org/records/19509630,10.5281/zenodo.19509630,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['No.', '合計得点(135点満点\u3000カットオフ値77点）', '得点入力\n\n最小値1\n－\n最大値5', '因子', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7']",,,,,CCSD_scoring_sheet.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Questionnaire of the moderating role of organizational resilience in digital transformation,https://zenodo.org/records/17666764,10.5281/zenodo.17666764,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Variable', 'Nomenclatura', 'Item', 'Fuente']",,,,,Questionnaire of the moderating role of organizational resilience in digital transformation.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,"Dataset from: Validation of the Brazilian Portuguese Version of The Epistemic Trust, Mistrust, and Credulity Questionnaire and Its Correlation with Personality Traits and Clinical Symptoms in a Sample of Brazilian Immigrants Living in Germany.",https://zenodo.org/records/10656152,10.5281/zenodo.10656152,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used the row position as the person id (one row = one respondent) and kept every source column available as an item or covariate — verify the file really is one row per person. | Could not confidently identify NUMERIC item columns, but 49 column(s) look like te",,,,,Alemanha banco ETMCQ .xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
figshare,Psychometric validation of Czech version of the Sport Motivation Scale,https://plos.figshare.com/articles/dataset/Psychometric_validation_of_Czech_version_of_the_Sport_Motivation_Scale/11495346,10.1371/journal.pone.0227277,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Unnamed: 1', 'Instructions: Using the scale below, please indicate to what extent each of the following items corresponds to one of the reasons for which you are presently practicing your sport.', 'Instrukce: Na škále 1 – 7 označte, jak m",,,,,pone.0227277.s001.xlsx,1.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
dataverse,Replication Data for: Economic and health consequence frames affect COVID-19 vaccine incentive attitudes in Germany – a survey based framing experiment,https://doi.org/10.7910/DVN/5RW50M,10.7910/dvn/5rw50m,cc0,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['PPD Juli 2022  anonym_2', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4']",,,,,codebook_PPD_Juli_2022.xls,2.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
dataverse,Replication Data for: Leaders Always Mattered: The Persistence of Personality in Canadian Elections,https://doi.org/10.7910/DVN/LYAOHZ,10.7910/dvn/lyaohz,cc0,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",513843.0,42431.0,13.0,0.9315,canadamerged.dta,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,"Does International Students' Self-Construal Set Them At Risk for Depression?  Exploring Relationships Between Self-construal, Self-criticism, Self-compassion and Depressive Symptoms",https://zenodo.org/records/7691650,10.5281/zenodo.7691650,cc-by,human_assistance,"QC failed on: resp_scale_mixed | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",4147.0,431.0,10.0,0.9622,Raw Data Study 2.sav,1.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Teacher Student Relationships - Child Rating / Relaciones Profesor-Alumno (Autoinforme) // TEACHER-STUDENT-CR_Data_IC_T1-Post,https://zenodo.org/records/7489105,10.5281/zenodo.7489105,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",1223.0,265.0,5.0,0.923,TEACHER-STUDENT-CR_Data_IC_T1-Post.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Dataset on Psychometric Evaluation of the Puerto Rican Spanish Adaptation of the Statistical Anxiety Rating Scale,https://zenodo.org/records/20573110,10.5281/zenodo.20573110,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['variable,subscale,description,scale']",,,,,data_diccionary.csv.xlsx,2.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Dataset for Rasch analyses of the brief Critical Thinking Scale (CTh) and assessment of change,https://zenodo.org/records/6401225,10.5281/zenodo.6401225,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used the row position as the person id (one row = one respondent) and kept every source column available as an item or covariate — verify the file really is one row per person. | Could not confidently identify item columns. | Columns present: ['Gender;Agegroup;",,,,,Critical_Thinking_baseline.csv,1.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Trust Questionnaire Response Data,https://zenodo.org/records/19567326,10.5281/zenodo.19567326,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Strongly Agree', 'Agree', 'Somewhat Agree', 'Neither agree nor disagree', 'Somewhat Disagree', 'Disagree', 'Strongly Disagree']",,,,,Trust Questionnaire Data.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,MED-LINKS. WP5. POST-MEASUREMENT QUESTIONNAIRE,https://zenodo.org/records/12706283,10.5281/zenodo.12706283,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6']",,,,,PostmeasurementQuestionnaire_Data.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,ELRAP Sketchfab Questionnaire Responses,https://zenodo.org/records/15026452,10.5281/zenodo.15026452,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used the row position as the person id (one row = one respondent) and kept every source column available as an item or covariate — verify the file really is one row per person. | Could not confidently identify NUMERIC item columns, but 8 column(s) look like tex",,,,,Supplemental Information 1.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Questionnaire,https://zenodo.org/records/17635499,10.5281/zenodo.17635499,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Variable ', 'Nomenclatura ', 'Item', 'Fuente ']",,,,,Questionnaire.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,GTnum Pléiades questionnaire,https://zenodo.org/records/16992348,10.5281/zenodo.16992348,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | No column met the id heuristic (≥50% unique, non-float); used the row position as the person id (one row = one respondent) and kept every source column available as an item or covariate — verify the file really is one row per person. | Could not confidently identify NUMERIC item columns, but 18 column(s) look like te",,,,,GTnum Pléiades corpus questionnaire (1-909).xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Questionnaire about Marketing Digital,https://zenodo.org/records/17643409,10.5281/zenodo.17643409,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Variables', 'Nomenclatura', 'Item', 'Fuentes']",,,,,Modelo-.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
figshare,Table_1_Psychometric properties of the German version of the Psychological Consequences of Screening Questionnaire (PCQ) for liver diseases.xlsx,https://frontiersin.figshare.com/articles/dataset/Table_1_Psychometric_properties_of_the_German_version_of_the_Psychological_Consequences_of_Screening_Questionnaire_PCQ_for_liver_diseases_xlsx/20471670,10.3389/fpsyg.2022.956674.s001,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Table A1: Sociodemographics (n=443)', 'Unnamed: 1']",,,,,Table_1_Psychometric properties of the German version of the Psychological Consequences of Screening Questionnaire (PCQ) for liver diseases.xlsx,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
dataverse,Replication Data for: 'Sleeping with the enemy': Partisanship and tolerance in online dating,https://doi.org/10.7910/DVN/G1H0UA,10.7910/dvn/g1h0ua,cc0,human_assistance,"QC failed on: resp_scale_mixed | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*, composite_items*",741880.0,3946.0,195.0,0.9641,bes_rps_2019_1.3.0.dta,8.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
figshare,"Psychological Flexibility, Coping, and Attachment Style in Predicting Secondary Traumatic Stress and Burnout In Forensic Inpatient Staff",https://figshare.com/articles/dataset/Psychological_Flexibility_Coping_and_Attachment_Style_in_Predicting_Secondary_Traumatic_Stress_and_Burnout_In_Forensic_Inpatient_Staff/24082113,10.6084/m9.figshare.24082113.v1,cc-by,human_assistance,"QC failed on: resp_scale_mixed | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*, composite_items*",12653.0,102.0,127.0,0.9768,Data original final.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
figshare,"SPSS data file showing attachment, pain, disability, and depression.",https://plos.figshare.com/articles/dataset/_Attachment_Symptom_Severity_and_Depression_in_Medically_Unexplained_Musculoskeletal_Pain_and_Osteoarthritis_A_Cross_Sectional_Study_/1355389,10.1371/journal.pone.0119052.s001,cc-by,human_assistance,"QC failed on: resp_scale_mixed | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*",17624.0,174.0,104.0,0.9739,S1 Dataset.SAV,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Teacher Student Relationships - Child Rating / Relaciones Profesor-Alumno (Autoinforme) // TEACHER-STUDENT-CR_Data_IC_T2-Pre,https://zenodo.org/records/7489070,10.5281/zenodo.7489070,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",1227.0,265.0,5.0,0.926,TEACHER-STUDENT-CR_Data_IC_T2-Pre.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,SchoolNET survey Data and questionnaire,https://zenodo.org/records/15827963,10.5281/zenodo.15827963,cc-by,human_assistance,"QC failed on: resp_scale_mixed | QC warnings to review: resp_direction*, imputed_values*",1528.0,524.0,3.0,0.972,raw_data_export.csv,1.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Teacher Student Relationships - Child Rating / Relaciones Profesor-Alumno (Autoinforme) // TEACHER-STUDENT-CR_Data_IC_T1-Pre,https://zenodo.org/records/7489062,10.5281/zenodo.7489062,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",1223.0,265.0,5.0,0.923,TEACHER-STUDENT-CR_Data_IC_T1-Pre.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Teacher Student Relationships - Child Rating / Relaciones Profesor-Alumno (Autoinforme) // TEACHER-STUDENT-CR_Data_IC_T3-Pre,https://zenodo.org/records/7489076,10.5281/zenodo.7489076,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",1220.0,265.0,5.0,0.9208,TEACHER-STUDENT-CR_Data_IC_T3-Pre.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
figshare,Empathy quotient scores of 1st and 5th year medical students at a medical university in Pakistan.,https://f1000.figshare.com/articles/dataset/Empathy_quotient_scores_of_1st_and_5th_year_medical_students_at_a_medical_university_in_Pakistan_/741709,10.6084/m9.figshare.741709.v1,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, composite_items*",1026.0,171.0,6.0,1.0,Empathy_Raw_data.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Teacher Student Relationships - Child Rating / Relaciones Profesor-Alumno (Autoinforme) // TEACHER-STUDENT-CR_Data_CC-CS_T2-Post,https://zenodo.org/records/7489037,10.5281/zenodo.7489037,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*",1470.0,490.0,3.0,1.0,TEACHER-STUDENT-CR_Data_CC-CS_T2-Post.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Teacher Student Relationships - Child Rating / Relaciones Profesor-Alumno (Autoinforme) // TEACHER-STUDENT-CR_Data_IC_T5-Pre,https://zenodo.org/records/7489089,10.5281/zenodo.7489089,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",795.0,265.0,3.0,1.0,TEACHER-STUDENT-CR_Data_IC_T5-Pre.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Teacher Student Relationships - Child Rating / Relaciones Profesor-Alumno (Autoinforme) // TEACHER-STUDENT-CR_Data_CC-CS_T3-Pre,https://zenodo.org/records/7489009,10.5281/zenodo.7489009,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*",1470.0,490.0,3.0,1.0,TEACHER-STUDENT-CR_Data_CC-CS_T3-Pre.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Teacher Student Relationships - Child Rating / Relaciones Profesor-Alumno (Autoinforme) // TEACHER-STUDENT-CR_Data_CC_T6-Post,https://zenodo.org/records/7489053,10.5281/zenodo.7489053,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",870.0,290.0,3.0,1.0,TEACHER-STUDENT-CR_Data_CC_T6-Post.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Teacher Student Relationships - Child Rating / Relaciones Profesor-Alumno (Autoinforme) // TEACHER-STUDENT-CR_Data_IC_T6-Post,https://zenodo.org/records/7489136,10.5281/zenodo.7489136,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",795.0,265.0,3.0,1.0,TEACHER-STUDENT-CR_Data_IC_T6-Post.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
zenodo,Teacher Student Relationships - Child Rating / Relaciones Profesor-Alumno (Autoinforme) // TEACHER-STUDENT-CR_Data_CC_T5-Pre,https://zenodo.org/records/7489019,10.5281/zenodo.7489019,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",870.0,290.0,3.0,1.0,TEACHER-STUDENT-CR_Data_CC_T5-Pre.sav,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
