table,live_table,verdict,distinguisher,n_rows,excess_pair,excess_exact,excess_after_all_columns,n_conflicting_pairs,columns,evidence
CV_OASIS_ODSIS_PPE_Novak_2020_BFI,CV_OASIS_ODSIS_PPE_Novak_2020_BFI,id_collision,group,19280,8,0,0,7,id|item|resp|group,"group separates every one of the 8 excess rows, but it names the sample/arm the person is in, not a measurement occasion -- so the same id denotes different people in different samples. 2409 distinct ids across 2 group values, 1 of them appearing under more than one. Groups: Sample 1:nid=1412,nitem=8 | Sample 2:nid=998,nitem=8. Fix by namespacing id (e.g. paste(group, id)), not by deduping."
CV_OASIS_ODSIS_PPE_Novak_2020_DSES,CV_OASIS_ODSIS_PPE_Novak_2020_DSES,id_collision,group,17325,7,0,0,4,id|item|resp|group,"group separates every one of the 7 excess rows, but it names the sample/arm the person is in, not a measurement occasion -- so the same id denotes different people in different samples. 2474 distinct ids across 2 group values, 1 of them appearing under more than one. Groups: Sample 1:nid=1458,nitem=7 | Sample 2:nid=1017,nitem=7. Fix by namespacing id (e.g. paste(group, id)), not by deduping."
CV_OASIS_ODSIS_PPE_Novak_2020_RSES,CV_OASIS_ODSIS_PPE_Novak_2020_RSES,id_collision,group,23740,10,0,0,4,id|item|resp|group,"group separates every one of the 10 excess rows, but it names the sample/arm the person is in, not a measurement occasion -- so the same id denotes different people in different samples. 2373 distinct ids across 2 group values, 1 of them appearing under more than one. Groups: Sample 1:nid=1413,nitem=10 | Sample 2:nid=961,nitem=10. Fix by namespacing id (e.g. paste(group, id)), not by deduping."
deception_game,deception_game,id_collision,age,15264,24,0,0,5,id|item|resp|age,"635 ids, exactly one of which carries two different ages -- a single duplicated participant id, 24 rows. Separately, the column is named age and should be cov_age per datastandard.md."
det_naismith_2023,det_naismith_2023,document_column,rater,3438,2292,0,0,1146,id|item|cov_gender|cov_test_taker_intent|cov_first_language|cov_ielts_writing|itemcov_condition|itemcov_length_characters|rater|resp,"rater fully explains all 2,292 excess rows; grouping by id+item+rater leaves none. The repeat is the design. No data change -- the gate list already consults this column as of #1835."
dumas_Organisciak_2022,dumas_Organisciak_2022,document_column,rater + verbatim,21960,21060,28,28,889,id|item|verbatim|rater|resp,"A divergent-thinking task: rater and the verbatim response text bring 21,060 excess down to 28. The repeat is the design (multiple verbatim responses per prompt). 28 residual rows are exact duplicates."
duolingo_en_es__listen,duolingo_en_es__listen,restore_trial_index,session (partial) + rt,755856,51869,2715,2962,6478,id|item|resp|session|format|rt|part_speech|morphology|dependency_label|dependency_head|stem,"A spaced-repetition learning trace, so a learner meeting the same lexeme repeatedly is the design -- but session leaves 49,240 of the 51,869 excess rows unseparated (repeats within one session) and what actually makes rows unique is rt. Restore a per-exposure trial index from the source; 2,715 residual rows are exact duplicates."
duolingo_en_es__reverse_tap,duolingo_en_es__reverse_tap,restore_trial_index,session (partial) + rt,693857,48170,3840,4051,3353,id|item|resp|session|format|rt|part_speech|morphology|dependency_label|dependency_head|stem,"A spaced-repetition learning trace, so a learner meeting the same lexeme repeatedly is the design -- but session leaves 23,064 of the 48,170 excess rows unseparated (repeats within one session) and what actually makes rows unique is rt. Restore a per-exposure trial index from the source; 3,840 residual rows are exact duplicates."
duolingo_es_en__reverse_tap,duolingo_es_en__reverse_tap,restore_trial_index,session (partial) + rt,540054,48924,5845,6075,3570,id|item|resp|session|format|rt|part_speech|morphology|dependency_label|dependency_head|stem,"A spaced-repetition learning trace, so a learner meeting the same lexeme repeatedly is the design -- but session leaves 28,651 of the 48,924 excess rows unseparated (repeats within one session) and what actually makes rows unique is rt. Restore a per-exposure trial index from the source; 5,845 residual rows are exact duplicates."
duolingo_es_en__reverse_translate,duolingo_es_en__reverse_translate,restore_trial_index,session (partial) + rt,575485,43980,2651,3155,8993,id|item|resp|session|format|rt|part_speech|morphology|dependency_label|dependency_head|stem,"A spaced-repetition learning trace, so a learner meeting the same lexeme repeatedly is the design -- but session leaves 30,060 of the 43,980 excess rows unseparated (repeats within one session) and what actually makes rows unique is rt. Restore a per-exposure trial index from the source; 2,651 residual rows are exact duplicates."
duolingo_fr_en__listen,duolingo_fr_en__listen,restore_trial_index,session (partial) + rt,182041,8820,767,861,1490,id|item|resp|session|format|rt|part_speech|morphology|dependency_label|dependency_head|stem,"A spaced-repetition learning trace, so a learner meeting the same lexeme repeatedly is the design -- but session leaves 8,103 of the 8,820 excess rows unseparated (repeats within one session) and what actually makes rows unique is rt. Restore a per-exposure trial index from the source; 767 residual rows are exact duplicates."
duolingo_fr_en__reverse_tap,duolingo_fr_en__reverse_tap,restore_trial_index,session (partial) + rt,357601,38703,3764,3991,2877,id|item|resp|session|format|rt|part_speech|morphology|dependency_label|dependency_head|stem,"A spaced-repetition learning trace, so a learner meeting the same lexeme repeatedly is the design -- but session leaves 18,782 of the 38,703 excess rows unseparated (repeats within one session) and what actually makes rows unique is rt. Restore a per-exposure trial index from the source; 3,764 residual rows are exact duplicates."
duolingo_fr_en__reverse_translate,duolingo_fr_en__reverse_translate,restore_trial_index,session (partial) + rt,387004,38537,2206,2556,7017,id|item|resp|session|format|rt|part_speech|morphology|dependency_label|dependency_head|stem,"A spaced-repetition learning trace, so a learner meeting the same lexeme repeatedly is the design -- but session leaves 22,620 of the 38,537 excess rows unseparated (repeats within one session) and what actually makes rows unique is rt. Restore a per-exposure trial index from the source; 2,206 residual rows are exact duplicates."
Ellipse_Corssley_2024,Ellipse_Corssley_2024,document_column,rater,142240,71120,0,0,32832,id|rater|item|resp,"rater fully explains all 71,120 excess rows; grouping by id+item+rater leaves none. The repeat is the design. No data change -- the gate list already consults this column as of #1835."
evpromisi_stone_2021_cdiag,evpromisi_stone_2021_cdiag,id_collision,group,5832,24,0,0,6,id|cov_age|cov_gender|cov_if_lat|cov_marital|item|resp|group|cov_race|cov_education|cov_income|cov_employed|cov_benefits|cov_herntype,"group separates every one of the 24 excess rows, but it names the sample/arm the person is in, not a measurement occasion -- so the same id denotes different people in different samples. 484 distinct ids across 5 group values, 2 of them appearing under more than one. Groups: BC:nid=86,nitem=12 | CS:nid=100,nitem=12 | HS:nid=100,nitem=12 | OA:nid=100,nitem=12 | pms:nid=100,nitem=12. Fix by namespacing id (e.g. paste(group, id)), not by deduping."
evpromisi_stone_2021_global,evpromisi_stone_2021_global,id_collision,group,4860,20,0,0,7,id|cov_age|cov_gender|cov_if_lat|cov_marital|item|resp|group|cov_race|cov_education|cov_income|cov_employed|cov_benefits|cov_herntype,"group separates every one of the 20 excess rows, but it names the sample/arm the person is in, not a measurement occasion -- so the same id denotes different people in different samples. 484 distinct ids across 5 group values, 2 of them appearing under more than one. Groups: BC:nid=86,nitem=10 | CS:nid=100,nitem=10 | HS:nid=100,nitem=10 | OA:nid=100,nitem=10 | pms:nid=100,nitem=10. Fix by namespacing id (e.g. paste(group, id)), not by deduping."
EWAS_Sanford_2024,EWAS_Sanford_2024,id_collision,study,9972,1416,0,0,1092,id|item|resp|study,"study separates every one of the 1,416 excess rows, but it names the sample/arm the person is in, not a measurement occasion -- so the same id denotes different people in different samples. 482 distinct ids across 2 study values, 236 of them appearing under more than one. Groups: 1:nid=236,nitem=30 | 2:nid=482,nitem=6. Fix by namespacing id (e.g. paste(study, id)), not by deduping."
famous_melodies,famous_melodies,document_column,rater,42876,42336,0,0,538,id|rater|item|resp|rt,"rater fully explains all 42,336 excess rows; grouping by id+item+rater leaves none. The repeat is the design. No data change -- the gate list already consults this column as of #1835."
fcupanas_cffsdas_reyna_2018,fcupanas_cffsdas_reyna_2018,id_collision,group,32720,10980,0,0,8627,id|cov_sex|cov_age|item|resp|group|cov_career|cov_educational,"group separates every one of the 10,980 excess rows, but it names the sample/arm the person is in, not a measurement occasion -- so the same id denotes different people in different samples. 805 distinct ids across 4 group values, 560 of them appearing under more than one. Groups: Athletes:nid=533,nitem=20 | General Adult:nid=316,nitem=20 | University_Students1:nid=392,nitem=20 | University_Students2:nid=395,nitem=20. Fix by namespacing id (e.g. paste(group, id)), not by deduping."
FEDSP_Trzcinska_2023_MonKnow,FEDSP_Trzcinska_2023_MonKnow,dedupe,,396,2,2,2,0,id|item|resp,All 2 excess rows are byte-identical duplicates of a row already present (zero conflicting responses). Safe to drop duplicates.
FEDSP_Trzcinska_2023_PRD,FEDSP_Trzcinska_2023_PRD,mixed_dedupe_then_source,,990,5,2,5,3,id|item|resp,No column explains any of the 5 excess rows. 2 are exact duplicates (dedupe); the remaining 3 carry conflicting responses for the same id+item and need the source to resolve.
FEDSP_Trzcinska_2023_SMSD,FEDSP_Trzcinska_2023_SMSD,dedupe,,2574,13,13,13,0,id|item|resp,All 13 excess rows are byte-identical duplicates of a row already present (zero conflicting responses). Safe to drop duplicates.
Fh_Okcsr_Roos_2022_study1_Feeling_Heard,Fh_Okcsr_Roos_2022_study1_Feeling_Heard,dedupe,group is a subscale label,22892,2328,0,0,0,id|item|resp|group,"CORRECTED 2026-09-02. Read initially as a within-subject condition manipulation because all 194 ids appear under all 7 group values -- but only 12 items actually repeat, always across the same two groups (Feeling Heard + Respect), for all 194 ids, and the responses NEVER disagree. group is a subscale label, not a condition, and those 12 items belong to two subscales, so each response was emitted once per subscale. Dedupe on id+item+resp; express dual subscale membership as item metadata (itemcov_subscale), not as duplicated rows."
florida_twins_behavior_cads,florida_twins_behavior_cads,dedupe,,156292,78146,78146,78146,0,id|item|resp,See family note.
florida_twins_behavior_cadsyv,florida_twins_behavior_cadsyv,dedupe,,96854,48427,48427,48427,0,id|item|resp,"CORRECTED 2026-09-02. Every id+item occurs exactly twice -- never three or four times -- with an identical resp and zero conflicts anywhere (density 1.99 in metadata.csv). This was first read as one twin's data emitted twice with the co-twin's data lost, on the reasoning that twins cannot agree on 100% of items. The id counts refute that: florida_twins_behavior_cads holds 1,378 distinct ids against the separately-processed florida_twins_cads's 1,272 on the identical 57 items, so it is not missing half its sample -- it has more people, not fewer. The uniform 2x is consistent with the double-entry layout standard in twin research, where each pair contributes two rows so each twin is once the target and once the co-twin; data/florida_twins_behavior.R bind_rows() the bg_id0 and bg_id1 arms of that layout, which reproduces every person twice. A plain dedupe is correct and nothing needs regenerating. Verify the id count is UNCHANGED afterwards, not doubled."
florida_twins_behavior_ecs,florida_twins_behavior_ecs,dedupe,,106442,53221,53221,53221,0,id|item|resp,"CORRECTED 2026-09-02. Every id+item occurs exactly twice -- never three or four times -- with an identical resp and zero conflicts anywhere (density 1.99 in metadata.csv). This was first read as one twin's data emitted twice with the co-twin's data lost, on the reasoning that twins cannot agree on 100% of items. The id counts refute that: florida_twins_behavior_cads holds 1,378 distinct ids against the separately-processed florida_twins_cads's 1,272 on the identical 57 items, so it is not missing half its sample -- it has more people, not fewer. The uniform 2x is consistent with the double-entry layout standard in twin research, where each pair contributes two rows so each twin is once the target and once the co-twin; data/florida_twins_behavior.R bind_rows() the bg_id0 and bg_id1 arms of that layout, which reproduces every person twice. A plain dedupe is correct and nothing needs regenerating. Verify the id count is UNCHANGED afterwards, not doubled."
florida_twins_behavior_friends,florida_twins_behavior_friends,dedupe,,32386,16193,16193,16193,0,id|item|resp,"CORRECTED 2026-09-02. Every id+item occurs exactly twice -- never three or four times -- with an identical resp and zero conflicts anywhere (density 1.99 in metadata.csv). This was first read as one twin's data emitted twice with the co-twin's data lost, on the reasoning that twins cannot agree on 100% of items. The id counts refute that: florida_twins_behavior_cads holds 1,378 distinct ids against the separately-processed florida_twins_cads's 1,272 on the identical 57 items, so it is not missing half its sample -- it has more people, not fewer. The uniform 2x is consistent with the double-entry layout standard in twin research, where each pair contributes two rows so each twin is once the target and once the co-twin; data/florida_twins_behavior.R bind_rows() the bg_id0 and bg_id1 arms of that layout, which reproduces every person twice. A plain dedupe is correct and nothing needs regenerating. Verify the id count is UNCHANGED afterwards, not doubled."
florida_twins_behavior_panas,florida_twins_behavior_panas,dedupe,,88202,44101,44101,44101,0,id|item|resp,"CORRECTED 2026-09-02. Every id+item occurs exactly twice -- never three or four times -- with an identical resp and zero conflicts anywhere (density 1.99 in metadata.csv). This was first read as one twin's data emitted twice with the co-twin's data lost, on the reasoning that twins cannot agree on 100% of items. The id counts refute that: florida_twins_behavior_cads holds 1,378 distinct ids against the separately-processed florida_twins_cads's 1,272 on the identical 57 items, so it is not missing half its sample -- it has more people, not fewer. The uniform 2x is consistent with the double-entry layout standard in twin research, where each pair contributes two rows so each twin is once the target and once the co-twin; data/florida_twins_behavior.R bind_rows() the bg_id0 and bg_id1 arms of that layout, which reproduces every person twice. A plain dedupe is correct and nothing needs regenerating. Verify the id count is UNCHANGED afterwards, not doubled."
florida_twins_behavior_rcads,florida_twins_behavior_rcads,dedupe,,208996,104498,104498,104498,0,id|item|resp,"CORRECTED 2026-09-02. Every id+item occurs exactly twice -- never three or four times -- with an identical resp and zero conflicts anywhere (density 1.99 in metadata.csv). This was first read as one twin's data emitted twice with the co-twin's data lost, on the reasoning that twins cannot agree on 100% of items. The id counts refute that: florida_twins_behavior_cads holds 1,378 distinct ids against the separately-processed florida_twins_cads's 1,272 on the identical 57 items, so it is not missing half its sample -- it has more people, not fewer. The uniform 2x is consistent with the double-entry layout standard in twin research, where each pair contributes two rows so each twin is once the target and once the co-twin; data/florida_twins_behavior.R bind_rows() the bg_id0 and bg_id1 arms of that layout, which reproduces every person twice. A plain dedupe is correct and nothing needs regenerating. Verify the id count is UNCHANGED afterwards, not doubled."
florida_twins_behavior_tas,florida_twins_behavior_tas,dedupe,,51362,25681,25681,25681,0,id|item|resp,"CORRECTED 2026-09-02. Every id+item occurs exactly twice -- never three or four times -- with an identical resp and zero conflicts anywhere (density 1.99 in metadata.csv). This was first read as one twin's data emitted twice with the co-twin's data lost, on the reasoning that twins cannot agree on 100% of items. The id counts refute that: florida_twins_behavior_cads holds 1,378 distinct ids against the separately-processed florida_twins_cads's 1,272 on the identical 57 items, so it is not missing half its sample -- it has more people, not fewer. The uniform 2x is consistent with the double-entry layout standard in twin research, where each pair contributes two rows so each twin is once the target and once the co-twin; data/florida_twins_behavior.R bind_rows() the bg_id0 and bg_id1 arms of that layout, which reproduces every person twice. A plain dedupe is correct and nothing needs regenerating. Verify the id count is UNCHANGED afterwards, not doubled."
fractals_rating,fractals_rating,document_column,rater,71680,68880,0,0,2800,id|item|rater|resp,"rater fully explains all 68,880 excess rows; grouping by id+item+rater leaves none. The repeat is the design. No data change -- the gate list already consults this column as of #1835."
graphmapping_study1,graphmapping_study1,document_column,order,6318,5220,0,0,821,item|rt|resp|order|id,"order fully explains all 5,220 excess rows; grouping by id+item+order leaves none. The repeat is the design. No data change -- the gate list already consults this column as of #1835."
immer12_immer,immer12_immer,document_column,rater,720,640,0,0,80,resp|rater|item|id,rater fully explains all 640 excess rows; grouping by id+item+rater leaves none. The repeat is the design. No data change -- the gate list already consults this column as of #1835.
KTEEM_Schoen_2019-2022,KTEEM_Schoen_2019-2022,restore_wave,group == DataCollectionWave,87404,49357,0,0,11106,id|group|item|resp,"data/KTEEM_Schoen_2019-2022.R renames DataCollectionWave to group. It is literally a wave: values Spring19..Spring22, PublicID persists, 832 of 1,130 ids appear in more than one. Rename group -> wave and mark the table longitudinal; no data change."
Mechanical_Turk_Lexical,mturkddm_lexical,document_column,block|order,68160,20,0,0,2,id|block|order|rt|resp|item,block|order fully explains all 20 excess rows; grouping by id+item+block|order leaves none. The repeat is the design. No data change -- the gate list already consults this column as of #1835.
Mechanical_Turk_Recognition,mturkddm_recognition,document_column,block|order,76908,12,0,0,6,id|block|order|rt|resp|item,block|order fully explains all 12 excess rows; grouping by id+item+block|order leaves none. The repeat is the design. No data change -- the gate list already consults this column as of #1835.
motion,motion,restore_trial_index,rt (not an identifier),31800,28620,1,1,2186,id|resp|rt|item,"A trial-level experiment with no trial index: 28,620 of 28,620 excess rows are separated only by rt. rt is a measurement, not an occasion identifier, so it must not be relied on to make rows unique. Restore trialnum/order from the source."
mpsycho_lakes,mpsycho_lakes,document_column,subtest|rater,15520,12416,0,0,2963,resp|subtest|item|rater|id,"subtest|rater fully explains all 12,416 excess rows; grouping by id+item+subtest|rater leaves none. The repeat is the design. No data change -- the gate list already consults this column as of #1835."
mturkddm_by,mturkddm_by,document_column,block|order,132800,129480,0,0,3286,id|block|order|rt|resp|item,"block|order fully explains all 129,480 excess rows; grouping by id+item+block|order leaves none. The repeat is the design. No data change -- the gate list already consults this column as of #1835."
mturkddm_lexical,mturkddm_lexical,document_column,block|order,68160,20,0,0,2,id|block|order|rt|resp|item,block|order fully explains all 20 excess rows; grouping by id+item+block|order leaves none. The repeat is the design. No data change -- the gate list already consults this column as of #1835.
mturkddm_recognition,mturkddm_recognition,document_column,block|order,76908,12,0,0,6,id|block|order|rt|resp|item,block|order fully explains all 12 excess rows; grouping by id+item+block|order leaves none. The repeat is the design. No data change -- the gate list already consults this column as of #1835.
mturkddm_y25,mturkddm_y25,document_column,block|order,127488,125496,0,0,1882,id|block|order|rt|resp|item,"block|order fully explains all 125,496 excess rows; grouping by id+item+block|order leaves none. The repeat is the design. No data change -- the gate list already consults this column as of #1835."
non_parametric_mixture_modeling_exp1_Cleaned,non_parametric_mixture_modeling_exp1_Cleaned,restore_trial_index,rt (not an identifier),44957,44900,622,988,57,id|item|rt|resp,"A trial-level experiment with no trial index: rt separates 43,912 of the 44,900 excess rows. rt is a measurement, not an occasion identifier. Restore trialnum/order from the source; 622 of the 988 residual rows are exact duplicates."
number_pattern_game,number_pattern_game,mixed_dedupe_then_source,,272700,263611,255155,263611,8456,resp|item|id,"No column explains any of the 263,611 excess rows. 255,155 are exact duplicates (dedupe); the remaining 8,456 carry conflicting responses for the same id+item and need the source to resolve."
OS_TBMWTFS_Schubert_2023_DMW,OS_TBMWTFS_Schubert_2023_DMW,id_collision,group,1564,704,0,0,593,id|item|resp|group,"group separates every one of the 704 excess rows, but it names the sample/arm the person is in, not a measurement occasion -- so the same id denotes different people in different samples. 215 distinct ids across 2 group values, 176 of them appearing under more than one. Groups: English:nid=215,nitem=4 | German:nid=176,nitem=4. Fix by namespacing id (e.g. paste(group, id)), not by deduping."
OS_TBMWTFS_Schubert_2023_IPIP,OS_TBMWTFS_Schubert_2023_IPIP,id_collision,group,19550,8800,0,0,6480,id|item|resp|group,"group separates every one of the 8,800 excess rows, but it names the sample/arm the person is in, not a measurement occasion -- so the same id denotes different people in different samples. 215 distinct ids across 2 group values, 176 of them appearing under more than one. Groups: English:nid=215,nitem=50 | German:nid=176,nitem=50. Fix by namespacing id (e.g. paste(group, id)), not by deduping."
OS_TBMWTFS_Schubert_2023_MAAS,OS_TBMWTFS_Schubert_2023_MAAS,id_collision,group,5865,2640,0,0,2109,id|item|resp|group,"group separates every one of the 2,640 excess rows, but it names the sample/arm the person is in, not a measurement occasion -- so the same id denotes different people in different samples. 215 distinct ids across 2 group values, 176 of them appearing under more than one. Groups: English:nid=215,nitem=15 | German:nid=176,nitem=15. Fix by namespacing id (e.g. paste(group, id)), not by deduping."
OS_TBMWTFS_Schubert_2023_SMW,OS_TBMWTFS_Schubert_2023_SMW,id_collision,group,1564,704,0,0,591,id|item|resp|group,"group separates every one of the 704 excess rows, but it names the sample/arm the person is in, not a measurement occasion -- so the same id denotes different people in different samples. 215 distinct ids across 2 group values, 176 of them appearing under more than one. Groups: English:nid=215,nitem=4 | German:nid=176,nitem=4. Fix by namespacing id (e.g. paste(group, id)), not by deduping."
pact_project,pact_project,dedupe,,1018383,171719,82720,82720,0,item|resp|treat|id,"138,035 repeated id+item pairs, up to 4 copies each, and ZERO of them disagree on resp. Genuine re-measurement of people produces variation; this produces none, so the repeat is duplication and not the four cohort-year waves the script's '# COMBINE WAVES' comment (pact_project.R:361) suggests. 82,720 excess rows are byte-identical; the other 88,999 differ only in whether treat is populated, which is a merge artefact -- treat is NULL on 581,824 of 1,018,383 rows. Dedupe, and populate treat consistently. Worth confirming at the source whether the five rbinded frames are genuinely distinct waves: if they are, the wave column should be carried through AS WELL, but it is not what is causing this flag."
pass20_klosowska_2025_csq_online,pass20_klosowska_2025_csq_online,id_collision,cov_age / cov_sex / cov_net_monthly_income,2508,18,0,0,14,id|cov_age|cov_sex|cov_race|cov_student|cov_employed_full_time|cov_employed_part_time|cov_unemployed|cov_retired|cov_pensioner|cov_net_monthly_income|cov_sick_leave|cov_marital_status|cov_education|cov_residence|item|resp,"Three ids each carry two different ages, two different sexes and two different incomes -- different people sharing an id, not a repeated measure. Namespace id, or drop the affected respondents. Small: affects 3 ids."
pass20_klosowska_2025_dass_online,pass20_klosowska_2025_dass_online,id_collision,cov_age / cov_sex / cov_net_monthly_income,8778,63,0,0,43,id|cov_age|cov_sex|cov_race|cov_student|cov_employed_full_time|cov_employed_part_time|cov_unemployed|cov_retired|cov_pensioner|cov_net_monthly_income|cov_sick_leave|cov_marital_status|cov_education|cov_residence|item|resp,"Three ids each carry two different ages, two different sexes and two different incomes -- different people sharing an id, not a repeated measure. Namespace id, or drop the affected respondents. Small: affects 3 ids."
pass20_klosowska_2025_staix_online,pass20_klosowska_2025_staix_online,id_collision,cov_age / cov_sex / cov_net_monthly_income,8360,60,0,0,40,id|cov_age|cov_sex|cov_race|cov_student|cov_employed_full_time|cov_employed_part_time|cov_unemployed|cov_retired|cov_pensioner|cov_net_monthly_income|cov_sick_leave|cov_marital_status|cov_education|cov_residence|item|resp,"Three ids each carry two different ages, two different sexes and two different incomes -- different people sharing an id, not a repeated measure. Namespace id, or drop the affected respondents. Small: affects 3 ids."
PEMAIW_Qiu_2020_BWSS,PEMAIW_Qiu_2020_BWSS,id_collision,group,21540,2440,0,0,1760,id|item|resp|group,"group separates every one of the 2,440 excess rows, but it names the sample/arm the person is in, not a measurement occasion -- so the same id denotes different people in different samples. 955 distinct ids across 2 group values, 122 of them appearing under more than one. Groups: InternalRecruit:nid=154,nitem=20 | WebRecruit:nid=923,nitem=20. Fix by namespacing id (e.g. paste(group, id)), not by deduping."
PEMAIW_Qiu_2020_DASS,PEMAIW_Qiu_2020_DASS,id_collision,group,22554,2562,0,0,1684,id|item|resp|group,"group separates every one of the 2,562 excess rows, but it names the sample/arm the person is in, not a measurement occasion -- so the same id denotes different people in different samples. 952 distinct ids across 2 group values, 122 of them appearing under more than one. Groups: InternalRecruit:nid=154,nitem=21 | WebRecruit:nid=920,nitem=21. Fix by namespacing id (e.g. paste(group, id)), not by deduping."
PEMAIW_Qiu_2020_FFMQ,PEMAIW_Qiu_2020_FFMQ,id_collision,group,46176,4953,0,0,3660,id|item|resp|group,"group separates every one of the 4,953 excess rows, but it names the sample/arm the person is in, not a measurement occasion -- so the same id denotes different people in different samples. 1057 distinct ids across 2 group values, 127 of them appearing under more than one. Groups: InternalRecruit:nid=154,nitem=39 | WebRecruit:nid=1030,nitem=39. Fix by namespacing id (e.g. paste(group, id)), not by deduping."
PEMAIW_Qiu_2020_MEQ,PEMAIW_Qiu_2020_MEQ,id_collision,group,33510,3750,0,0,3232,id|item|resp|group,"group separates every one of the 3,750 excess rows, but it names the sample/arm the person is in, not a measurement occasion -- so the same id denotes different people in different samples. 992 distinct ids across 2 group values, 125 of them appearing under more than one. Groups: InternalRecruit:nid=154,nitem=30 | WebRecruit:nid=963,nitem=30. Fix by namespacing id (e.g. paste(group, id)), not by deduping."
PEMAIW_Qiu_2020_MLQ,PEMAIW_Qiu_2020_MLQ,id_collision,group,10780,1220,0,0,1021,id|item|resp|group,"group separates every one of the 1,220 excess rows, but it names the sample/arm the person is in, not a measurement occasion -- so the same id denotes different people in different samples. 956 distinct ids across 2 group values, 122 of them appearing under more than one. Groups: InternalRecruit:nid=154,nitem=10 | WebRecruit:nid=924,nitem=10. Fix by namespacing id (e.g. paste(group, id)), not by deduping."
PEMAIW_Qiu_2020_PANAS,PEMAIW_Qiu_2020_PANAS,id_collision,group,21680,2480,0,0,1849,id|item|resp|group,"group separates every one of the 2,480 excess rows, but it names the sample/arm the person is in, not a measurement occasion -- so the same id denotes different people in different samples. 960 distinct ids across 2 group values, 124 of them appearing under more than one. Groups: InternalRecruit:nid=154,nitem=20 | WebRecruit:nid=930,nitem=20. Fix by namespacing id (e.g. paste(group, id)), not by deduping."
PEMAIW_Qiu_2020_SWLS,PEMAIW_Qiu_2020_SWLS,id_collision,group,5460,620,0,0,532,id|item|resp|group,"group separates every one of the 620 excess rows, but it names the sample/arm the person is in, not a measurement occasion -- so the same id denotes different people in different samples. 968 distinct ids across 2 group values, 124 of them appearing under more than one. Groups: InternalRecruit:nid=154,nitem=5 | WebRecruit:nid=938,nitem=5. Fix by namespacing id (e.g. paste(group, id)), not by deduping."
